"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"16","C3AR1","ENSG00000171860","16.1.1","C3AR1","ENSSSCG00000023868","C3a anaphylatoxin chemotactic receptor"
"17","SLC7A7","ENSG00000155465","17.1.1","SLC7A7","ENSSSCG00000002041","solute carrier family 7 member 7 [Source:VGNC Symbol;Acc:VGNC:93175]"
"18","MITF","ENSG00000187098","18.1.1","MITF","ENSSSCG00000011514","melanocyte inducing transcription factor [Source:VGNC Symbol;Acc:VGNC:90243]"
"19","LY86","ENSG00000112799","19.1.1","LY86","ENSSSCG00000032355","lymphocyte antigen 86 [Source:NCBI gene (formerly Entrezgene);Acc:396639]"
"20","AKT1S1","ENSG00000204673","20.1.1","AKT1S1","ENSSSCG00000003194","AKT1 substrate 1 [Source:VGNC Symbol;Acc:VGNC:85231]"
"21","ANG","ENSG00000214274","21.1.1","ANG","ENSSSCG00000059608","angiogenin [Source:NCBI gene (formerly Entrezgene);Acc:733639]"
"22","BLNK","ENSG00000095585","22.1.1","BLNK","ENSSSCG00000010504","B cell linker [Source:VGNC Symbol;Acc:VGNC:85829]"
"23","CREM","ENSG00000095794","23.1.1","ENSSSCG00000011106","ENSSSCG00000011106","cAMP responsive element modulator [Source:VGNC Symbol;Acc:VGNC:96010]"
"24","LPXN","ENSG00000110031","24.1.1","LPXN","ENSSSCG00000021176","leupaxin [Source:VGNC Symbol;Acc:VGNC:89797]"
"25","PRRC2A","ENSG00000204469","25.1.1","PRRC2A","ENSSSCG00000001409","proline rich coiled-coil 2A [Source:NCBI gene (formerly Entrezgene);Acc:100137083]"
"26","ALOX5AP","ENSG00000132965","26.1.1","ALOX5AP","ENSSSCG00000009330","arachidonate 5-lipoxygenase activating protein [Source:VGNC Symbol;Acc:VGNC:109456]"
"27","SLC41A2","ENSG00000136052","27.1.1","SLC41A2","ENSSSCG00000000838","solute carrier family 41 member 2 [Source:VGNC Symbol;Acc:VGNC:93114]"
"28","EVL","ENSG00000196405","28.1.1","EVL","ENSSSCG00000037105","Enah/Vasp-like [Source:VGNC Symbol;Acc:VGNC:87820]"
"29","CFAP45","ENSG00000213085","29.1.1","CFAP45","ENSSSCG00000006394","cilia and flagella associated protein 45 [Source:VGNC Symbol;Acc:VGNC:86600]"
"30","BACH1","ENSG00000156273","30.1.1","BACH1","ENSSSCG00000012029","BTB domain and CNC homolog 1 [Source:VGNC Symbol;Acc:VGNC:85741]"
"31","ZNF217","ENSG00000171940","31.1.1","ZNF217","ENSSSCG00000007484","zinc finger protein 217 [Source:VGNC Symbol;Acc:VGNC:95573]"
"32","SELENOP","ENSG00000250722","32.1.1","N/A","N/A","N/A"
"33","SUFU","ENSG00000107882","33.1.1","SUFU","ENSSSCG00000010586","SUFU negative regulator of hedgehog signaling [Source:VGNC Symbol;Acc:VGNC:93608]"
"34","PLEKHH3","ENSG00000068137","34.1.1","PLEKHH3","ENSSSCG00000017391","pleckstrin homology, MyTH4 and FERM domain containing H3 [Source:VGNC Symbol;Acc:VGNC:91550]"
"35","PLA2G6","ENSG00000184381","35.1.1","PLA2G6","ENSSSCG00000000110","phospholipase A2 group VI [Source:VGNC Symbol;Acc:VGNC:91500]"
"36","SUCO","ENSG00000094975","36.1.1","SUCO","ENSSSCG00000015485","SUN domain containing ossification factor [Source:VGNC Symbol;Acc:VGNC:93606]"
"37","HK2","ENSG00000159399","37.1.1","HK2","ENSSSCG00000008261","hexokinase 2 [Source:NCBI gene (formerly Entrezgene);Acc:494561]"
"38","SEC23B","ENSG00000101310","38.1.1","SEC23B","ENSSSCG00000007097","SEC23 homolog B, COPII coat complex component [Source:VGNC Symbol;Acc:VGNC:95490]"
"39","RNF13","ENSG00000082996","39.1.1","RNF13","ENSSSCG00000027459","ring finger protein 13 [Source:VGNC Symbol;Acc:VGNC:92355]"
"40","SLA","ENSG00000155926","40.1.1","SLA","ENSSSCG00000005949","Src like adaptor [Source:VGNC Symbol;Acc:VGNC:92908]"
"41","FRMD4A","ENSG00000151474","41.1.1","FRMD4A","ENSSSCG00000011056","FERM domain containing 4A [Source:VGNC Symbol;Acc:VGNC:96088]"
"42","DCAF11","ENSG00000100897","42.1.1","DCAF11","ENSSSCG00000002008","DDB1 and CUL4 associated factor 11 [Source:VGNC Symbol;Acc:VGNC:97957]"
"43","SLC38A7","ENSG00000103042","43.1.1","SLC38A7","ENSSSCG00000040881","solute carrier family 38 member 7 [Source:VGNC Symbol;Acc:VGNC:110392]"
"44","STIM1","ENSG00000167323","44.1.1","STIM1","ENSSSCG00000014792","stromal interaction molecule 1 [Source:VGNC Symbol;Acc:VGNC:93546]"
"45","GZF1","ENSG00000125812","45.1.1","GZF1","ENSSSCG00000007117","GDNF inducible zinc finger protein 1 [Source:VGNC Symbol;Acc:VGNC:108722]"
"46","VAV3","ENSG00000134215","46.1.1","ENSSSCG00000062186","ENSSSCG00000062186",""
"47","TWF1","ENSG00000151239","47.1.1","TWF1","ENSSSCG00000000798","twinfilin actin binding protein 1 [Source:VGNC Symbol;Acc:VGNC:94595]"
"48","LACC1","ENSG00000179630","48.1.1","LACC1","ENSSSCG00000009425","laccase domain containing 1 [Source:VGNC Symbol;Acc:VGNC:111463]"
"49","NFIA","ENSG00000162599","49.1.1","NFIA","ENSSSCG00000023243","nuclear factor I A [Source:VGNC Symbol;Acc:VGNC:90715]"
"50","TMEM106A","ENSG00000184988","50.1.1","TMEM106A","ENSSSCG00000025856","transmembrane protein 106A [Source:VGNC Symbol;Acc:VGNC:94063]"
"51","RERE","ENSG00000142599","51.1.1","ENSSSCG00000033497","ENSSSCG00000033497","arginine-glutamic acid dipeptide repeats [Source:VGNC Symbol;Acc:VGNC:92216]"
"52","SYNE1","ENSG00000131018","52.1.1","ENSSSCG00000004081","ENSSSCG00000004081",""
"52","SYNE1","ENSG00000131018","52.1.2","ENSSSCG00000004082","ENSSSCG00000004082",""
"53","FRMD4B","ENSG00000114541","53.1.1","FRMD4B","ENSSSCG00000011511","FERM domain containing 4B [Source:VGNC Symbol;Acc:VGNC:88237]"
"54","EEF1A1","ENSG00000156508","54.1.1","N/A","N/A","N/A"
"55","HK3","ENSG00000160883","55.1.1","HK3","ENSSSCG00000014048","hexokinase 3 [Source:VGNC Symbol;Acc:VGNC:88893]"
"56","DMXL1","ENSG00000172869","56.1.1","DMXL1","ENSSSCG00000027857","Dmx like 1 [Source:VGNC Symbol;Acc:VGNC:87359]"
"57","GLIS3","ENSG00000107249","57.1.1","GLIS3","ENSSSCG00000005224","GLIS family zinc finger 3 [Source:VGNC Symbol;Acc:VGNC:88485]"
"58","SARS2","ENSG00000104835","58.1.1","SARS2","ENSSSCG00000002972","seryl-tRNA synthetase 2, mitochondrial [Source:VGNC Symbol;Acc:VGNC:110216]"
"59","CD36","ENSG00000135218","59.1.1","ENSSSCG00000015405","ENSSSCG00000015405",""
"59","CD36","ENSG00000135218","59.1.2","ENSSSCG00000061957","ENSSSCG00000061957","CD36 molecule [Source:NCBI gene (formerly Entrezgene);Acc:733702]"
"60","ANKRD28","ENSG00000206560","60.1.1","ANKRD28","ENSSSCG00000011194","ankyrin repeat domain 28 [Source:VGNC Symbol;Acc:VGNC:85331]"
"61","FMN1","ENSG00000248905","61.1.1","FMN1","ENSSSCG00000044690","formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]"
"62","LRRC41","ENSG00000132128","62.1.1","LRRC41","ENSSSCG00000003904","leucine rich repeat containing 41 [Source:VGNC Symbol;Acc:VGNC:89840]"
"63","PSMC2","ENSG00000161057","63.1.1","PSMC2","ENSSSCG00000015424","proteasome 26S subunit, ATPase 2 [Source:NCBI gene (formerly Entrezgene);Acc:100514865]"
"64","TLR6","ENSG00000174130","64.1.1","TLR6","ENSSSCG00000026592","toll like receptor 6 [Source:NCBI gene (formerly Entrezgene);Acc:396621]"
"65","CORO1C","ENSG00000110880","65.1.1","CORO1C","ENSSSCG00000009944","coronin 1C [Source:VGNC Symbol;Acc:VGNC:86914]"
"66","NPC2","ENSG00000119655","66.1.1","NPC2","ENSSSCG00000002366","NPC intracellular cholesterol transporter 2 [Source:NCBI gene (formerly Entrezgene);Acc:397410]"
"67","LAPTM4A","ENSG00000068697","67.1.1","LAPTM4A","ENSSSCG00000008602","lysosomal protein transmembrane 4 alpha [Source:VGNC Symbol;Acc:VGNC:89636]"
"68","ZZZ3","ENSG00000036549","68.1.1","ZZZ3","ENSSSCG00000003772","zinc finger ZZ-type containing 3 [Source:VGNC Symbol;Acc:VGNC:95348]"
"69","SLC25A25","ENSG00000148339","69.1.1","SLC25A25","ENSSSCG00000005636","solute carrier family 25 member 25 [Source:NCBI gene (formerly Entrezgene);Acc:100156347]"
"70","MEF2C","ENSG00000081189","70.1.1","MEF2C","ENSSSCG00000014149","myocyte enhancer factor 2C [Source:VGNC Symbol;Acc:VGNC:90127]"
"71","SPAG7","ENSG00000091640","71.1.1","SPAG7","ENSSSCG00000053757","sperm associated antigen 7 [Source:NCBI gene (formerly Entrezgene);Acc:100511958]"
"72","ZBTB20","ENSG00000181722","72.1.1","ZBTB20","ENSSSCG00000026113","zinc finger and BTB domain containing 20 [Source:VGNC Symbol;Acc:VGNC:95063]"
"73","SLC7A8","ENSG00000092068","73.1.1","SLC7A8","ENSSSCG00000002032","solute carrier family 7 member 8 [Source:VGNC Symbol;Acc:VGNC:93176]"
"74","HNRNPA0","ENSG00000177733","74.1.1","N/A","N/A","N/A"
"75","SZRD1","ENSG00000055070","75.1.1","ENSSSCG00000035672","ENSSSCG00000035672",""
"76","REV3L","ENSG00000009413","76.1.1","REV3L","ENSSSCG00000025703","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:VGNC Symbol;Acc:VGNC:92226]"
"77","NISCH","ENSG00000010322","77.1.1","NISCH","ENSSSCG00000011442","nischarin [Source:VGNC Symbol;Acc:VGNC:107159]"
"78","ARRDC4","ENSG00000140450","78.1.1","ARRDC4","ENSSSCG00000002252","arrestin domain containing 4 [Source:VGNC Symbol;Acc:VGNC:85547]"
"79","CTSZ","ENSG00000101160","79.1.1","CTSZ","ENSSSCG00000007522","cathepsin Z [Source:NCBI gene (formerly Entrezgene);Acc:100141405]"
"80","ZBTB3","ENSG00000185670","80.1.1","ENSSSCG00000037745","ENSSSCG00000037745","zinc finger and BTB domain containing 3 [Source:VGNC Symbol;Acc:VGNC:95067]"
"81","ZNF446","ENSG00000083838","81.1.1","ZNF446","ENSSSCG00000039930","zinc finger protein 446 [Source:VGNC Symbol;Acc:VGNC:95241]"
"82","IFNGR2","ENSG00000159128","82.1.1","IFNGR2","ENSSSCG00000034378","interferon gamma receptor 2 [Source:NCBI gene (formerly Entrezgene);Acc:100126864]"
"83","NUF2","ENSG00000143228","83.1.1","NUF2","ENSSSCG00000006333","NUF2 component of NDC80 kinetochore complex [Source:VGNC Symbol;Acc:VGNC:90965]"
"84","CEP170","ENSG00000143702","84.1.1","CEP170","ENSSSCG00000030502","centrosomal protein 170 [Source:VGNC Symbol;Acc:VGNC:97925]"
"85","YJU2","ENSG00000105248","85.1.1","YJU2","ENSSSCG00000013499","YJU2 splicing factor homolog [Source:VGNC Symbol;Acc:VGNC:95033]"
"86","IQGAP2","ENSG00000145703","86.1.1","IQGAP2","ENSSSCG00000014088","IQ motif containing GTPase activating protein 2 [Source:VGNC Symbol;Acc:VGNC:89192]"
"87","GNPDA1","ENSG00000113552","87.1.1","GNPDA1","ENSSSCG00000038940","glucosamine-6-phosphate deaminase 1 [Source:VGNC Symbol;Acc:VGNC:88544]"
"88","PTPN2","ENSG00000175354","88.1.1","PTPN2","ENSSSCG00000021738","protein tyrosine phosphatase non-receptor type 2 [Source:VGNC Symbol;Acc:VGNC:98545]"
"89","FKBP15","ENSG00000119321","89.1.1","FKBP15","ENSSSCG00000005477","FKBP prolyl isomerase family member 15 [Source:VGNC Symbol;Acc:VGNC:88145]"
"90","MRPS28","ENSG00000147586","90.1.1","MRPS28","ENSSSCG00000052833","mitochondrial ribosomal protein S28 [Source:NCBI gene (formerly Entrezgene);Acc:100152709]"
"91","STK40","ENSG00000196182","91.1.1","STK40","ENSSSCG00000036832","serine/threonine kinase 40 [Source:VGNC Symbol;Acc:VGNC:93558]"
"92","FUCA1","ENSG00000179163","92.1.1","FUCA1","ENSSSCG00000027659","alpha-L-fucosidase 1 [Source:NCBI gene (formerly Entrezgene);Acc:100621112]"
"93","MS4A6A","ENSG00000110077","93.1.1","ENSSSCG00000013100","ENSSSCG00000013100",""
"94","CD180","ENSG00000134061","94.1.1","CD180","ENSSSCG00000016957","CD180 molecule [Source:NCBI gene (formerly Entrezgene);Acc:397644]"
"95","ZRANB3","ENSG00000121988","95.1.1","ZRANB3","ENSSSCG00000015694","zinc finger RANBP2-type containing 3 [Source:VGNC Symbol;Acc:VGNC:96073]"
"96","MLEC","ENSG00000110917","96.1.1","MLEC","ENSSSCG00000009914","malectin [Source:VGNC Symbol;Acc:VGNC:111118]"
"97","CSF2RB","ENSG00000100368","97.1.1","CSF2RB","ENSSSCG00000000136","colony stimulating factor 2 receptor subunit beta [Source:VGNC Symbol;Acc:VGNC:87033]"
"98","HAVCR2","ENSG00000135077","98.1.1","HAVCR2","ENSSSCG00000028875","hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]"
"99","SPTY2D1","ENSG00000179119","99.1.1","SPTY2D1","ENSSSCG00000013361","SPT2 chromatin protein domain containing 1 [Source:VGNC Symbol;Acc:VGNC:100867]"
"100","CELF1","ENSG00000149187","100.1.1","CELF1","ENSSSCG00000013233","CUGBP Elav-like family member 1 [Source:VGNC Symbol;Acc:VGNC:86537]"
"101","PRMT1","ENSG00000126457","101.1.1","PRMT1","ENSSSCG00000003189","protein arginine methyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:91820]"
"102","CCL3L3","ENSG00000276085","102.1.1","CCL3L1","ENSSSCG00000017700","chemokine (C-C motif) ligand 3-like 1 [Source:NCBI gene (formerly Entrezgene);Acc:494459]"
"103","NCF2","ENSG00000116701","103.1.1","NCF2","ENSSSCG00000015559","neutrophil cytosolic factor 2 [Source:VGNC Symbol;Acc:VGNC:90607]"
"104","SEC24D","ENSG00000150961","104.1.1","SEC24D","ENSSSCG00000009112","SEC24 homolog D, COPII coat complex component [Source:VGNC Symbol;Acc:VGNC:92679]"
"105","TBXAS1","ENSG00000059377","105.1.1","TBXAS1","ENSSSCG00000016504","thromboxane A synthase 1 [Source:VGNC Symbol;Acc:VGNC:104202]"
"106","PLD3","ENSG00000105223","106.1.1","PLD3","ENSSSCG00000025109","phospholipase D family member 3 [Source:VGNC Symbol;Acc:VGNC:91527]"
"107","NRP1","ENSG00000099250","107.1.1","NRP1","ENSSSCG00000011102","neuropilin 1 [Source:VGNC Symbol;Acc:VGNC:104012]"
"108","JARID2","ENSG00000008083","108.1.1","JARID2","ENSSSCG00000001061","jumonji and AT-rich interaction domain containing 2 [Source:VGNC Symbol;Acc:VGNC:89279]"
"109","ATG4C","ENSG00000125703","109.1.1","ATG4C","ENSSSCG00000003816","autophagy related 4C cysteine peptidase [Source:VGNC Symbol;Acc:VGNC:85623]"
"110","CNOT1","ENSG00000125107","110.1.1","CNOT1","ENSSSCG00000002799","CCR4-NOT transcription complex subunit 1 [Source:VGNC Symbol;Acc:VGNC:86831]"
"111","PLIN3","ENSG00000105355","111.1.1","PLIN3","ENSSSCG00000038954","perilipin 3 [Source:VGNC Symbol;Acc:VGNC:91559]"
"112","CCL8","ENSG00000108700","112.1.1","CCL8","ENSSSCG00000040648","chemokine (C-C motif) ligand 8 [Source:NCBI gene (formerly Entrezgene);Acc:100302703]"
"113","PLD1","ENSG00000075651","113.1.1","PLD1","ENSSSCG00000011750","phospholipase D1 [Source:VGNC Symbol;Acc:VGNC:91525]"
"114","ZNF414","ENSG00000133250","114.1.1","ZNF414","ENSSSCG00000024810","PML-RARA regulated adaptor molecule 1 [Source:VGNC Symbol;Acc:VGNC:91769]"
"115","NMT1","ENSG00000136448","115.1.1","NMT1","ENSSSCG00000017339","N-myristoyltransferase 1 [Source:VGNC Symbol;Acc:VGNC:90802]"
"116","ITGB5","ENSG00000082781","116.1.1","ITGB5","ENSSSCG00000037905","integrin subunit beta 5 [Source:NCBI gene (formerly Entrezgene);Acc:100134977]"
"117","LCP2","ENSG00000043462","117.1.1","LCP2","ENSSSCG00000017006","lymphocyte cytosolic protein 2 [Source:VGNC Symbol;Acc:VGNC:89664]"
"118","SMC4","ENSG00000113810","118.1.1","SMC4","ENSSSCG00000011731","structural maintenance of chromosomes 4 [Source:VGNC Symbol;Acc:VGNC:93240]"
"119","PSMD1","ENSG00000173692","119.1.1","PSMD1","ENSSSCG00000016272","proteasome 26S subunit, non-ATPase 1 [Source:VGNC Symbol;Acc:VGNC:96511]"
"120","BLVRB","ENSG00000090013","120.1.1","BLVRB","ENSSSCG00000021067","biliverdin reductase B [Source:VGNC Symbol;Acc:VGNC:85834]"
"121","PLPP3","ENSG00000162407","121.1.1","PLPP3","ENSSSCG00000003839","phospholipid phosphatase 3 [Source:VGNC Symbol;Acc:VGNC:98533]"
"122","ARHGEF2","ENSG00000116584","122.1.1","ARHGEF2","ENSSSCG00000006502","Rho/Rac guanine nucleotide exchange factor 2 [Source:VGNC Symbol;Acc:VGNC:85493]"
"123","JAK1","ENSG00000162434","123.1.1","JAK1","ENSSSCG00000003809","Janus kinase 1 [Source:VGNC Symbol;Acc:VGNC:89270]"
"124","TENT5A","ENSG00000112773","124.1.1","TENT5A","ENSSSCG00000004464","terminal nucleotidyltransferase 5A [Source:VGNC Symbol;Acc:VGNC:93873]"
"125","MKNK1","ENSG00000079277","125.1.1","MKNK1","ENSSSCG00000003898","MAPK interacting serine/threonine kinase 1 [Source:VGNC Symbol;Acc:VGNC:90246]"
"126","CA13","ENSG00000185015","126.1.1","CA13","ENSSSCG00000006143","carbonic anhydrase 13 [Source:VGNC Symbol;Acc:VGNC:98745]"
"127","POC1A","ENSG00000164087","127.1.1","POC1A","ENSSSCG00000011426","POC1 centriolar protein A [Source:VGNC Symbol;Acc:VGNC:91615]"
"128","PRDX1","ENSG00000117450","128.1.1","PRDX1","ENSSSCG00000003914","peroxiredoxin 1 [Source:VGNC Symbol;Acc:VGNC:98542]"
"129","SMPDL3A","ENSG00000172594","129.1.1","SMPDL3A","ENSSSCG00000004233","sphingomyelin phosphodiesterase acid like 3A [Source:VGNC Symbol;Acc:VGNC:93265]"
"130","RAB39A","ENSG00000179331","130.1.1","RAB39A","ENSSSCG00000031723","RAB39A, member RAS onco family [Source:VGNC Symbol;Acc:VGNC:98262]"
"131","PPM1B","ENSG00000138032","131.1.1","PPM1B","ENSSSCG00000008451","protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]"
"132","SCPEP1","ENSG00000121064","132.1.1","SCPEP1","ENSSSCG00000017617","serine carboxypeptidase 1 [Source:VGNC Symbol;Acc:VGNC:92645]"
"133","KLF9","ENSG00000119138","133.1.1","KLF9","ENSSSCG00000021646","KLF transcription factor 9 [Source:NCBI gene (formerly Entrezgene);Acc:494562]"
"134","RAD51B","ENSG00000182185","134.1.1","RAD51B","ENSSSCG00000028877","RAD51 paralog B [Source:VGNC Symbol;Acc:VGNC:92058]"
"135","PRDM1","ENSG00000057657","135.1.1","PRDM1","ENSSSCG00000004369","PR/SET domain 1 [Source:VGNC Symbol;Acc:VGNC:91772]"
"136","CSF1R","ENSG00000182578","136.1.1","CSF1R","ENSSSCG00000014441","colony stimulating factor 1 receptor [Source:VGNC Symbol;Acc:VGNC:87031]"
"137","RHOG","ENSG00000177105","137.1.1","ENSSSCG00000039656","ENSSSCG00000039656","ras homolog family member G [Source:VGNC Symbol;Acc:VGNC:92289]"
"138","RNF44","ENSG00000146083","138.1.1","RNF44","ENSSSCG00000014056","ring finger protein 44 [Source:VGNC Symbol;Acc:VGNC:92395]"
"139","TMEM37","ENSG00000171227","139.1.1","ENSSSCG00000014911","ENSSSCG00000014911",""
"139","TMEM37","ENSG00000171227","139.1.2","ENSSSCG00000035189","ENSSSCG00000035189",""
"140","LYST","ENSG00000143669","140.1.1","LYST","ENSSSCG00000010151","lysosomal trafficking regulator [Source:VGNC Symbol;Acc:VGNC:89921]"
"141","GPR107","ENSG00000148358","141.1.1","GPR107","ENSSSCG00000038868","G protein-coupled receptor 107 [Source:VGNC Symbol;Acc:VGNC:88595]"
"142","CLTC","ENSG00000141367","142.1.1","CLTC","ENSSSCG00000022659","clathrin heavy chain [Source:VGNC Symbol;Acc:VGNC:86789]"
"143","MGST3","ENSG00000143198","143.1.1","MGST3","ENSSSCG00000006325","microsomal glutathione S-transferase 3 [Source:VGNC Symbol;Acc:VGNC:90204]"
"144","RCBTB2","ENSG00000136161","144.1.1","RCBTB2","ENSSSCG00000009400","RCC1 and BTB domain containing protein 2 [Source:VGNC Symbol;Acc:VGNC:92174]"
"145","KAT7","ENSG00000136504","145.1.1","KAT7","ENSSSCG00000017553","lysine acetyltransferase 7 [Source:VGNC Symbol;Acc:VGNC:89307]"
"146","AKAP13","ENSG00000170776","146.1.1","ENSSSCG00000002259","ENSSSCG00000002259",""
"147","TREX1","ENSG00000213689","147.1.1","TREX1","ENSSSCG00000011358","three prime repair exonuclease 1 [Source:VGNC Symbol;Acc:VGNC:94388]"
"148","NRP2","ENSG00000118257","148.1.1","NRP2","ENSSSCG00000026383","neuropilin 2 [Source:VGNC Symbol;Acc:VGNC:96454]"
"149","ZDHHC5","ENSG00000156599","149.1.1","ZDHHC5","ENSSSCG00000013178","zinc finger DHHC-type palmitoyltransferase 5 [Source:VGNC Symbol;Acc:VGNC:95127]"
"150","B9D2","ENSG00000123810","150.1.1","B9D2","ENSSSCG00000003013","B9 domain containing 2 [Source:VGNC Symbol;Acc:VGNC:85738]"
"151","TRIB1","ENSG00000173334","151.1.1","TRIB1","ENSSSCG00000038500","tribbles pseudokinase 1 [Source:VGNC Symbol;Acc:VGNC:94391]"
"152","SH3BP2","ENSG00000087266","152.1.1","SH3BP2","ENSSSCG00000022004","SH3 domain binding protein 2 [Source:VGNC Symbol;Acc:VGNC:92818]"
"153","NR1D1","ENSG00000126368","153.1.1","NR1D1","ENSSSCG00000036933","nuclear receptor subfamily 1 group D member 1 [Source:VGNC Symbol;Acc:VGNC:90869]"
"154","IGF1","ENSG00000017427","154.1.1","IGF1","ENSSSCG00000000857","insulin like growth factor 1 [Source:VGNC Symbol;Acc:VGNC:98044]"
"155","TSACC","ENSG00000163467","155.1.1","TSACC","ENSSSCG00000006486","TSSK6 activating cochaperone [Source:VGNC Symbol;Acc:VGNC:98883]"
"156","EED","ENSG00000074266","156.1.1","EED","ENSSSCG00000014915","embryonic ectoderm development [Source:VGNC Symbol;Acc:VGNC:87552]"
"157","IDH1","ENSG00000138413","157.1.1","IDH1","ENSSSCG00000023264","isocitrate dehydrogenase (NADP(+)) 1 [Source:VGNC Symbol;Acc:VGNC:111751]"
"158","TRIM14","ENSG00000106785","158.1.1","TRIM14","ENSSSCG00000033222","tripartite motif containing 14 [Source:VGNC Symbol;Acc:VGNC:103196]"
"159","SLC38A6","ENSG00000139974","159.1.1","SLC38A6","ENSSSCG00000005092","solute carrier family 38 member 6 [Source:VGNC Symbol;Acc:VGNC:93098]"
"160","EVI5","ENSG00000067208","160.1.1","EVI5","ENSSSCG00000006901","ecotropic viral integration site 5 [Source:VGNC Symbol;Acc:VGNC:98793]"
"161","ZFAND3","ENSG00000156639","161.1.1","ZFAND3","ENSSSCG00000039952","zinc finger AN1-type containing 3 [Source:VGNC Symbol;Acc:VGNC:95135]"
"162","ARRB2","ENSG00000141480","162.1.1","ARRB2","ENSSSCG00000017918","arrestin beta 2 [Source:VGNC Symbol;Acc:VGNC:85543]"
"163","PFN1","ENSG00000108518","163.1.1","ENSSSCG00000033966","ENSSSCG00000033966",""
"164","DUSP1","ENSG00000120129","164.1.1","DUSP1","ENSSSCG00000016991","dual specificity phosphatase 1 [Source:VGNC Symbol;Acc:VGNC:87476]"
"165","USP16","ENSG00000156256","165.1.1","USP16","ENSSSCG00000027594","ubiquitin specific peptidase 16 [Source:VGNC Symbol;Acc:VGNC:94749]"
"166","DCTN4","ENSG00000132912","166.1.1","DCTN4","ENSSSCG00000021427","dynactin subunit 4 [Source:VGNC Symbol;Acc:VGNC:99635]"
"167","NASP","ENSG00000132780","167.1.1","NASP","ENSSSCG00000029573","nuclear autoantigenic sperm protein [Source:VGNC Symbol;Acc:VGNC:90584]"
"168","KAT6A","ENSG00000083168","168.1.1","ENSSSCG00000007023","ENSSSCG00000007023","lysine acetyltransferase 6A [Source:VGNC Symbol;Acc:VGNC:95574]"
"168","KAT6A","ENSG00000083168","168.1.2","ENSSSCG00000059771","ENSSSCG00000059771",""
"169","FAM107B","ENSG00000065809","169.1.1","N/A","N/A","N/A"
"170","LRP1","ENSG00000123384","170.1.1","ENSSSCG00000050398","ENSSSCG00000050398",""
"171","RASSF2","ENSG00000101265","171.1.1","RASSF2","ENSSSCG00000032601","Ras association domain family member 2 [Source:VGNC Symbol;Acc:VGNC:96531]"
"172","EGR2","ENSG00000122877","172.1.1","EGR2","ENSSSCG00000010224","early growth response 2 [Source:VGNC Symbol;Acc:VGNC:103939]"
