"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"21","ANG","ENSG00000214274","21.1.3","Ang4","ENSMUSG00000060615","angiogenin, ribonuclease A family, member 4 [Source:MGI Symbol;Acc:MGI:2656551]"
"21","ANG","ENSG00000214274","21.1.4","Ang","ENSMUSG00000072115","angiogenin, ribonuclease, RNase A family, 5 [Source:MGI Symbol;Acc:MGI:88022]"
"21","ANG","ENSG00000214274","21.1.5","Ang6","ENSMUSG00000072598","angiogenin, ribonuclease A family, member 6 [Source:MGI Symbol;Acc:MGI:3528602]"
"22","BLNK","ENSG00000095585","22.1.1","Blnk","ENSMUSG00000061132","B cell linker [Source:MGI Symbol;Acc:MGI:96878]"
"23","CREM","ENSG00000095794","23.1.1","Crem","ENSMUSG00000063889","cAMP responsive element modulator [Source:MGI Symbol;Acc:MGI:88495]"
"24","LPXN","ENSG00000110031","24.1.1","Lpxn","ENSMUSG00000024696","leupaxin [Source:MGI Symbol;Acc:MGI:2147677]"
"25","PRRC2A","ENSG00000204469","25.1.1","Prrc2a","ENSMUSG00000024393","proline-rich coiled-coil 2A [Source:MGI Symbol;Acc:MGI:1915467]"
"26","ALOX5AP","ENSG00000132965","26.1.1","Alox5ap","ENSMUSG00000060063","arachidonate 5-lipoxygenase activating protein [Source:MGI Symbol;Acc:MGI:107505]"
"27","SLC41A2","ENSG00000136052","27.1.1","Slc41a2","ENSMUSG00000034591","solute carrier family 41, member 2 [Source:MGI Symbol;Acc:MGI:2442940]"
"28","EVL","ENSG00000196405","28.1.1","Evl","ENSMUSG00000021262","Ena-vasodilator stimulated phosphoprotein [Source:MGI Symbol;Acc:MGI:1194884]"
"29","CFAP45","ENSG00000213085","29.1.1","Cfap45","ENSMUSG00000026546","cilia and flagella associated protein 45 [Source:MGI Symbol;Acc:MGI:1919120]"
"30","BACH1","ENSG00000156273","30.1.1","Bach1","ENSMUSG00000025612","BTB and CNC homology 1, basic leucine zipper transcription factor 1 [Source:MGI Symbol;Acc:MGI:894680]"
"31","ZNF217","ENSG00000171940","31.1.1","Zfp217","ENSMUSG00000052056","zinc finger protein 217 [Source:MGI Symbol;Acc:MGI:2685408]"
"32","SELENOP","ENSG00000250722","32.1.1","Selenop","ENSMUSG00000064373","selenoprotein P [Source:MGI Symbol;Acc:MGI:894288]"
"33","SUFU","ENSG00000107882","33.1.1","Sufu","ENSMUSG00000025231","SUFU negative regulator of hedgehog signaling [Source:MGI Symbol;Acc:MGI:1345643]"
"34","PLEKHH3","ENSG00000068137","34.1.1","Plekhh3","ENSMUSG00000035172","pleckstrin homology domain containing, family H (with MyTH4 domain) member 3 [Source:MGI Symbol;Acc:MGI:2384950]"
"35","PLA2G6","ENSG00000184381","35.1.1","Pla2g6","ENSMUSG00000042632","phospholipase A2, group VI [Source:MGI Symbol;Acc:MGI:1859152]"
"36","SUCO","ENSG00000094975","36.1.1","Suco","ENSMUSG00000040297","SUN domain containing ossification factor [Source:MGI Symbol;Acc:MGI:2138346]"
"37","HK2","ENSG00000159399","37.1.1","Hk2","ENSMUSG00000000628","hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]"
"38","SEC23B","ENSG00000101310","38.1.1","Sec23b","ENSMUSG00000027429","SEC23 homolog B, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1350925]"
"39","RNF13","ENSG00000082996","39.1.1","Rnf13","ENSMUSG00000036503","ring finger protein 13 [Source:MGI Symbol;Acc:MGI:1346341]"
"40","SLA","ENSG00000155926","40.1.1","Sla","ENSMUSG00000022372","src-like adaptor [Source:MGI Symbol;Acc:MGI:104295]"
"41","FRMD4A","ENSG00000151474","41.1.1","Frmd4a","ENSMUSG00000026657","FERM domain containing 4A [Source:MGI Symbol;Acc:MGI:1919850]"
"42","DCAF11","ENSG00000100897","42.1.1","Dcaf11","ENSMUSG00000022214","DDB1 and CUL4 associated factor 11 [Source:MGI Symbol;Acc:MGI:90168]"
"43","SLC38A7","ENSG00000103042","43.1.1","Slc38a7","ENSMUSG00000036534","solute carrier family 38, member 7 [Source:MGI Symbol;Acc:MGI:2679005]"
"44","STIM1","ENSG00000167323","44.1.1","Stim1","ENSMUSG00000030987","stromal interaction molecule 1 [Source:MGI Symbol;Acc:MGI:107476]"
"45","GZF1","ENSG00000125812","45.1.1","Gzf1","ENSMUSG00000027439","GDNF-inducible zinc finger protein 1 [Source:MGI Symbol;Acc:MGI:1921783]"
"46","VAV3","ENSG00000134215","46.1.1","Vav3","ENSMUSG00000033721","vav 3 oncogene [Source:MGI Symbol;Acc:MGI:1888518]"
"47","TWF1","ENSG00000151239","47.1.1","Twf1","ENSMUSG00000022451","twinfilin actin binding protein 1 [Source:MGI Symbol;Acc:MGI:1100520]"
"48","LACC1","ENSG00000179630","48.1.1","Lacc1","ENSMUSG00000044350","laccase domain containing 1 [Source:MGI Symbol;Acc:MGI:2445077]"
"49","NFIA","ENSG00000162599","49.1.1","Nfia","ENSMUSG00000028565","nuclear factor I/A [Source:MGI Symbol;Acc:MGI:108056]"
"50","TMEM106A","ENSG00000184988","50.1.1","Tmem106a","ENSMUSG00000034947","transmembrane protein 106A [Source:MGI Symbol;Acc:MGI:1922056]"
"51","RERE","ENSG00000142599","51.1.1","Rere","ENSMUSG00000039852","arginine glutamic acid dipeptide (RE) repeats [Source:MGI Symbol;Acc:MGI:2683486]"
"52","SYNE1","ENSG00000131018","52.1.1","Syne1","ENSMUSG00000096054","spectrin repeat containing, nuclear envelope 1 [Source:MGI Symbol;Acc:MGI:1927152]"
"53","FRMD4B","ENSG00000114541","53.1.1","Frmd4b","ENSMUSG00000030064","FERM domain containing 4B [Source:MGI Symbol;Acc:MGI:2141794]"
"54","EEF1A1","ENSG00000156508","54.1.1","Eef1a1","ENSMUSG00000037742","eukaryotic translation elongation factor 1 alpha 1 [Source:MGI Symbol;Acc:MGI:1096881]"
"55","HK3","ENSG00000160883","55.1.1","Hk3","ENSMUSG00000025877","hexokinase 3 [Source:MGI Symbol;Acc:MGI:2670962]"
"56","DMXL1","ENSG00000172869","56.1.1","Dmxl1","ENSMUSG00000037416","Dmx-like 1 [Source:MGI Symbol;Acc:MGI:2443926]"
"57","GLIS3","ENSG00000107249","57.1.1","Glis3","ENSMUSG00000052942","GLIS family zinc finger 3 [Source:MGI Symbol;Acc:MGI:2444289]"
"58","SARS2","ENSG00000104835","58.1.1","Sars2","ENSMUSG00000070699","seryl-aminoacyl-tRNA synthetase 2 [Source:MGI Symbol;Acc:MGI:1919234]"
"59","CD36","ENSG00000135218","59.1.1","Cd36","ENSMUSG00000002944","CD36 molecule [Source:MGI Symbol;Acc:MGI:107899]"
"60","ANKRD28","ENSG00000206560","60.1.1","Ankrd28","ENSMUSG00000014496","ankyrin repeat domain 28 [Source:MGI Symbol;Acc:MGI:2145661]"
"61","FMN1","ENSG00000248905","61.1.1","Fmn1","ENSMUSG00000044042","formin 1 [Source:MGI Symbol;Acc:MGI:101815]"
"62","LRRC41","ENSG00000132128","62.1.1","Lrrc41","ENSMUSG00000028703","leucine rich repeat containing 41 [Source:MGI Symbol;Acc:MGI:2441984]"
"63","PSMC2","ENSG00000161057","63.1.1","Psmc2","ENSMUSG00000028932","proteasome (prosome, macropain) 26S subunit, ATPase 2 [Source:MGI Symbol;Acc:MGI:109555]"
"64","TLR6","ENSG00000174130","64.1.1","Tlr6","ENSMUSG00000051498","toll-like receptor 6 [Source:MGI Symbol;Acc:MGI:1341296]"
"65","CORO1C","ENSG00000110880","65.1.1","Coro1c","ENSMUSG00000004530","coronin, actin binding protein 1C [Source:MGI Symbol;Acc:MGI:1345964]"
"66","NPC2","ENSG00000119655","66.1.1","Npc2","ENSMUSG00000021242","NPC intracellular cholesterol transporter 2 [Source:MGI Symbol;Acc:MGI:1915213]"
"67","LAPTM4A","ENSG00000068697","67.1.1","Laptm4a","ENSMUSG00000020585","lysosomal-associated protein transmembrane 4A [Source:MGI Symbol;Acc:MGI:108017]"
"68","ZZZ3","ENSG00000036549","68.1.1","Zzz3","ENSMUSG00000039068","zinc finger, ZZ domain containing 3 [Source:MGI Symbol;Acc:MGI:1920453]"
"69","SLC25A25","ENSG00000148339","69.1.1","Slc25a25","ENSMUSG00000026819","solute carrier family 25 (mitochondrial carrier, phosphate carrier), member 25 [Source:MGI Symbol;Acc:MGI:1915913]"
"70","MEF2C","ENSG00000081189","70.1.1","Mef2c","ENSMUSG00000005583","myocyte enhancer factor 2C [Source:MGI Symbol;Acc:MGI:99458]"
"71","SPAG7","ENSG00000091640","71.1.1","Spag7","ENSMUSG00000018287","sperm associated antigen 7 [Source:MGI Symbol;Acc:MGI:107380]"
"72","ZBTB20","ENSG00000181722","72.1.1","Zbtb20","ENSMUSG00000022708","zinc finger and BTB domain containing 20 [Source:MGI Symbol;Acc:MGI:1929213]"
"73","SLC7A8","ENSG00000092068","73.1.1","Slc7a8","ENSMUSG00000022180","solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 [Source:MGI Symbol;Acc:MGI:1355323]"
"74","HNRNPA0","ENSG00000177733","74.1.1","Hnrnpa0","ENSMUSG00000007836","heterogeneous nuclear ribonucleoprotein A0 [Source:MGI Symbol;Acc:MGI:1924384]"
"75","SZRD1","ENSG00000055070","75.1.1","Szrd1","ENSMUSG00000040842","SUZ RNA binding domain containing 1 [Source:MGI Symbol;Acc:MGI:1098672]"
"76","REV3L","ENSG00000009413","76.1.1","Rev3l","ENSMUSG00000019841","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:MGI Symbol;Acc:MGI:1337131]"
"77","NISCH","ENSG00000010322","77.1.1","Nisch","ENSMUSG00000021910","nischarin [Source:MGI Symbol;Acc:MGI:1928323]"
"78","ARRDC4","ENSG00000140450","78.1.1","Arrdc4","ENSMUSG00000042659","arrestin domain containing 4 [Source:MGI Symbol;Acc:MGI:1913662]"
"79","CTSZ","ENSG00000101160","79.1.1","Ctsz","ENSMUSG00000016256","cathepsin Z [Source:MGI Symbol;Acc:MGI:1891190]"
"80","ZBTB3","ENSG00000185670","80.1.1","Zbtb3","ENSMUSG00000071661","zinc finger and BTB domain containing 3 [Source:MGI Symbol;Acc:MGI:1922541]"
"81","ZNF446","ENSG00000083838","81.1.1","Zfp446","ENSMUSG00000033961","zinc finger protein 446 [Source:MGI Symbol;Acc:MGI:2442185]"
"82","IFNGR2","ENSG00000159128","82.1.1","Ifngr2","ENSMUSG00000022965","interferon gamma receptor 2 [Source:MGI Symbol;Acc:MGI:107654]"
"83","NUF2","ENSG00000143228","83.1.1","Nuf2","ENSMUSG00000026683","NUF2, NDC80 kinetochore complex component [Source:MGI Symbol;Acc:MGI:1914227]"
"84","CEP170","ENSG00000143702","84.1.1","Cep170","ENSMUSG00000057335","centrosomal protein 170 [Source:MGI Symbol;Acc:MGI:1918348]"
"85","YJU2","ENSG00000105248","85.1.1","Yju2","ENSMUSG00000003208","YJU2 splicing factor [Source:MGI Symbol;Acc:MGI:1920136]"
"86","IQGAP2","ENSG00000145703","86.1.1","Iqgap2","ENSMUSG00000021676","IQ motif containing GTPase activating protein 2 [Source:MGI Symbol;Acc:MGI:2449975]"
"87","GNPDA1","ENSG00000113552","87.1.1","Gnpda1","ENSMUSG00000052102","glucosamine-6-phosphate deaminase 1 [Source:MGI Symbol;Acc:MGI:1347054]"
"88","PTPN2","ENSG00000175354","88.1.1","Ptpn2","ENSMUSG00000024539","protein tyrosine phosphatase, non-receptor type 2 [Source:MGI Symbol;Acc:MGI:97806]"
"89","FKBP15","ENSG00000119321","89.1.1","Fkbp15","ENSMUSG00000066151","FK506 binding protein 15 [Source:MGI Symbol;Acc:MGI:2444782]"
"90","MRPS28","ENSG00000147586","90.1.1","Mrps28","ENSMUSG00000040269","mitochondrial ribosomal protein S28 [Source:MGI Symbol;Acc:MGI:1913480]"
"91","STK40","ENSG00000196182","91.1.1","Stk40","ENSMUSG00000042608","serine/threonine kinase 40 [Source:MGI Symbol;Acc:MGI:1921428]"
"92","FUCA1","ENSG00000179163","92.1.1","Fuca1","ENSMUSG00000028673","fucosidase, alpha-L- 1, tissue [Source:MGI Symbol;Acc:MGI:95593]"
"93","MS4A6A","ENSG00000110077","93.1.1","Ms4a6b","ENSMUSG00000024677","membrane-spanning 4-domains, subfamily A, member 6B [Source:MGI Symbol;Acc:MGI:1917024]"
"93","MS4A6A","ENSG00000110077","93.1.2","Ms4a6d","ENSMUSG00000024679","membrane-spanning 4-domains, subfamily A, member 6D [Source:MGI Symbol;Acc:MGI:1916024]"
"93","MS4A6A","ENSG00000110077","93.1.3","Ms4a6c","ENSMUSG00000079419","membrane-spanning 4-domains, subfamily A, member 6C [Source:MGI Symbol;Acc:MGI:2385644]"
"94","CD180","ENSG00000134061","94.1.1","Cd180","ENSMUSG00000021624","CD180 antigen [Source:MGI Symbol;Acc:MGI:1194924]"
"95","ZRANB3","ENSG00000121988","95.1.1","Zranb3","ENSMUSG00000036086","zinc finger, RAN-binding domain containing 3 [Source:MGI Symbol;Acc:MGI:1918362]"
"96","MLEC","ENSG00000110917","96.1.1","Mlec","ENSMUSG00000048578","malectin [Source:MGI Symbol;Acc:MGI:1924015]"
"97","CSF2RB","ENSG00000100368","97.1.1","Csf2rb","ENSMUSG00000071713","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339759]"
"97","CSF2RB","ENSG00000100368","97.1.2","Csf2rb2","ENSMUSG00000071714","colony stimulating factor 2 receptor, beta 2, low-affinity (granulocyte-macrophage) [Source:MGI Symbol;Acc:MGI:1339760]"
"98","HAVCR2","ENSG00000135077","98.1.1","Havcr2","ENSMUSG00000020399","hepatitis A virus cellular receptor 2 [Source:MGI Symbol;Acc:MGI:2159682]"
"99","SPTY2D1","ENSG00000179119","99.1.1","Spty2d1","ENSMUSG00000049516","SPT2 chromatin protein domain containing 1 [Source:MGI Symbol;Acc:MGI:2142062]"
"100","CELF1","ENSG00000149187","100.1.1","Celf1","ENSMUSG00000005506","CUGBP, Elav-like family member 1 [Source:MGI Symbol;Acc:MGI:1342295]"
"101","PRMT1","ENSG00000126457","101.1.1","Prmt1","ENSMUSG00000109324","protein arginine N-methyltransferase 1 [Source:MGI Symbol;Acc:MGI:107846]"
"102","CCL3L3","ENSG00000276085","102.1.1","Ccl3","ENSMUSG00000000982","C-C motif chemokine ligand 3 [Source:MGI Symbol;Acc:MGI:98260]"
"103","NCF2","ENSG00000116701","103.1.1","Ncf2","ENSMUSG00000026480","neutrophil cytosolic factor 2 [Source:MGI Symbol;Acc:MGI:97284]"
"104","SEC24D","ENSG00000150961","104.1.1","Sec24d","ENSMUSG00000039234","SEC24 homolog D, COPII coat complex component [Source:MGI Symbol;Acc:MGI:1916858]"
"105","TBXAS1","ENSG00000059377","105.1.1","Tbxas1","ENSMUSG00000029925","thromboxane A synthase 1, platelet [Source:MGI Symbol;Acc:MGI:98497]"
"106","PLD3","ENSG00000105223","106.1.1","Pld3","ENSMUSG00000003363","phospholipase D family member 3 [Source:MGI Symbol;Acc:MGI:1333782]"
"107","NRP1","ENSG00000099250","107.1.1","Nrp1","ENSMUSG00000025810","neuropilin 1 [Source:MGI Symbol;Acc:MGI:106206]"
"108","JARID2","ENSG00000008083","108.1.1","Jarid2","ENSMUSG00000038518","jumonji and AT-rich interaction domain containing 2 [Source:MGI Symbol;Acc:MGI:104813]"
"109","ATG4C","ENSG00000125703","109.1.1","Atg4c","ENSMUSG00000028550","autophagy related 4C, cysteine peptidase [Source:MGI Symbol;Acc:MGI:2651854]"
"110","CNOT1","ENSG00000125107","110.1.1","Cnot1","ENSMUSG00000036550","CCR4-NOT transcription complex, subunit 1 [Source:MGI Symbol;Acc:MGI:2442402]"
"111","PLIN3","ENSG00000105355","111.1.1","Plin3","ENSMUSG00000024197","perilipin 3 [Source:MGI Symbol;Acc:MGI:1914155]"
"112","CCL8","ENSG00000108700","112.1.1","Ccl8","ENSMUSG00000009185","C-C motif chemokine ligand 8 [Source:MGI Symbol;Acc:MGI:101878]"
"112","CCL8","ENSG00000108700","112.1.2","Ccl12","ENSMUSG00000035352","C-C motif chemokine ligand 12 [Source:MGI Symbol;Acc:MGI:108224]"
"113","PLD1","ENSG00000075651","113.1.1","Pld1","ENSMUSG00000027695","phospholipase D1 [Source:MGI Symbol;Acc:MGI:109585]"
"114","ZNF414","ENSG00000133250","114.1.1","Zfp414","ENSMUSG00000073423","zinc finger protein 414 [Source:MGI Symbol;Acc:MGI:1915641]"
"115","NMT1","ENSG00000136448","115.1.1","Nmt1","ENSMUSG00000020936","N-myristoyltransferase 1 [Source:MGI Symbol;Acc:MGI:102579]"
"116","ITGB5","ENSG00000082781","116.1.1","Itgb5","ENSMUSG00000022817","integrin beta 5 [Source:MGI Symbol;Acc:MGI:96614]"
"117","LCP2","ENSG00000043462","117.1.1","Lcp2","ENSMUSG00000002699","lymphocyte cytosolic protein 2 [Source:MGI Symbol;Acc:MGI:1321402]"
"118","SMC4","ENSG00000113810","118.1.1","Smc4","ENSMUSG00000034349","structural maintenance of chromosomes 4 [Source:MGI Symbol;Acc:MGI:1917349]"
"119","PSMD1","ENSG00000173692","119.1.1","Psmd1","ENSMUSG00000026229","proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:MGI Symbol;Acc:MGI:1917497]"
"120","BLVRB","ENSG00000090013","120.1.1","Blvrb","ENSMUSG00000040466","biliverdin reductase B [Source:MGI Symbol;Acc:MGI:2385271]"
"121","PLPP3","ENSG00000162407","121.1.1","Plpp3","ENSMUSG00000028517","phospholipid phosphatase 3 [Source:MGI Symbol;Acc:MGI:1915166]"
"122","ARHGEF2","ENSG00000116584","122.1.1","Arhgef2","ENSMUSG00000028059","Rho/Rac guanine nucleotide exchange factor 2 [Source:MGI Symbol;Acc:MGI:103264]"
"123","JAK1","ENSG00000162434","123.1.1","Jak1","ENSMUSG00000028530","Janus kinase 1 [Source:MGI Symbol;Acc:MGI:96628]"
"124","TENT5A","ENSG00000112773","124.1.1","Tent5a","ENSMUSG00000032265","terminal nucleotidyltransferase 5A [Source:MGI Symbol;Acc:MGI:2670964]"
"125","MKNK1","ENSG00000079277","125.1.1","Mknk1","ENSMUSG00000028708","MAP kinase-interacting serine/threonine kinase 1 [Source:MGI Symbol;Acc:MGI:894316]"
"126","CA13","ENSG00000185015","126.1.1","Car13","ENSMUSG00000027555","carbonic anhydrase 13 [Source:MGI Symbol;Acc:MGI:1931322]"
"127","POC1A","ENSG00000164087","127.1.1","Poc1a","ENSMUSG00000023345","POC1 centriolar protein A [Source:MGI Symbol;Acc:MGI:1917485]"
"128","PRDX1","ENSG00000117450","128.1.1","Prdx1","ENSMUSG00000028691","peroxiredoxin 1 [Source:MGI Symbol;Acc:MGI:99523]"
"129","SMPDL3A","ENSG00000172594","129.1.1","Smpdl3a","ENSMUSG00000019872","sphingomyelin phosphodiesterase, acid-like 3A [Source:MGI Symbol;Acc:MGI:1931437]"
"130","RAB39A","ENSG00000179331","130.1.1","Rab39","ENSMUSG00000055069","RAB39, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:2442855]"
"131","PPM1B","ENSG00000138032","131.1.1","Ppm1b","ENSMUSG00000061130","protein phosphatase 1B, magnesium dependent, beta isoform [Source:MGI Symbol;Acc:MGI:101841]"
"132","SCPEP1","ENSG00000121064","132.1.1","Scpep1","ENSMUSG00000000278","serine carboxypeptidase 1 [Source:MGI Symbol;Acc:MGI:1921867]"
"133","KLF9","ENSG00000119138","133.1.1","Klf9","ENSMUSG00000033863","Kruppel-like transcription factor 9 [Source:MGI Symbol;Acc:MGI:1333856]"
"134","RAD51B","ENSG00000182185","134.1.1","Rad51b","ENSMUSG00000059060","RAD51 paralog B [Source:MGI Symbol;Acc:MGI:1099436]"
"135","PRDM1","ENSG00000057657","135.1.1","Prdm1","ENSMUSG00000038151","PR domain containing 1, with ZNF domain [Source:MGI Symbol;Acc:MGI:99655]"
"136","CSF1R","ENSG00000182578","136.1.1","Csf1r","ENSMUSG00000024621","colony stimulating factor 1 receptor [Source:MGI Symbol;Acc:MGI:1339758]"
"137","RHOG","ENSG00000177105","137.1.1","Rhog","ENSMUSG00000073982","ras homolog family member G [Source:MGI Symbol;Acc:MGI:1928370]"
"138","RNF44","ENSG00000146083","138.1.1","Rnf44","ENSMUSG00000034928","ring finger protein 44 [Source:MGI Symbol;Acc:MGI:2145310]"
"139","TMEM37","ENSG00000171227","139.1.1","Tmem37","ENSMUSG00000050777","transmembrane protein 37 [Source:MGI Symbol;Acc:MGI:2157899]"
"140","LYST","ENSG00000143669","140.1.1","Lyst","ENSMUSG00000019726","lysosomal trafficking regulator [Source:MGI Symbol;Acc:MGI:107448]"
"141","GPR107","ENSG00000148358","141.1.1","Gpr107","ENSMUSG00000000194","G protein-coupled receptor 107 [Source:MGI Symbol;Acc:MGI:2139054]"
"142","CLTC","ENSG00000141367","142.1.1","Cltc","ENSMUSG00000047126","clathrin heavy chain [Source:MGI Symbol;Acc:MGI:2388633]"
"143","MGST3","ENSG00000143198","143.1.1","Mgst3","ENSMUSG00000026688","microsomal glutathione S-transferase 3 [Source:MGI Symbol;Acc:MGI:1913697]"
"144","RCBTB2","ENSG00000136161","144.1.1","Rcbtb2","ENSMUSG00000022106","regulator of chromosome condensation (RCC1) and BTB (POZ) domain containing protein 2 [Source:MGI Symbol;Acc:MGI:1917200]"
"145","KAT7","ENSG00000136504","145.1.1","Kat7","ENSMUSG00000038909","K(lysine) acetyltransferase 7 [Source:MGI Symbol;Acc:MGI:2182799]"
"146","AKAP13","ENSG00000170776","146.1.1","Akap13","ENSMUSG00000066406","A kinase anchor protein 13 [Source:MGI Symbol;Acc:MGI:2676556]"
"147","TREX1","ENSG00000213689","147.1.1","Trex1","ENSMUSG00000049734","three prime repair exonuclease 1 [Source:MGI Symbol;Acc:MGI:1328317]"
"148","NRP2","ENSG00000118257","148.1.1","Nrp2","ENSMUSG00000025969","neuropilin 2 [Source:MGI Symbol;Acc:MGI:1100492]"
"149","ZDHHC5","ENSG00000156599","149.1.1","Zdhhc5","ENSMUSG00000034075","zinc finger, DHHC domain containing 5 [Source:MGI Symbol;Acc:MGI:1923573]"
"150","B9D2","ENSG00000123810","150.1.1","B9d2","ENSMUSG00000063439","B9 protein domain 2 [Source:MGI Symbol;Acc:MGI:2387643]"
"151","TRIB1","ENSG00000173334","151.1.1","Trib1","ENSMUSG00000032501","tribbles pseudokinase 1 [Source:MGI Symbol;Acc:MGI:2443397]"
"152","SH3BP2","ENSG00000087266","152.1.1","Sh3bp2","ENSMUSG00000054520","SH3-domain binding protein 2 [Source:MGI Symbol;Acc:MGI:1346349]"
"153","NR1D1","ENSG00000126368","153.1.1","Nr1d1","ENSMUSG00000020889","nuclear receptor subfamily 1, group D, member 1 [Source:MGI Symbol;Acc:MGI:2444210]"
"154","IGF1","ENSG00000017427","154.1.1","Igf1","ENSMUSG00000020053","insulin-like growth factor 1 [Source:MGI Symbol;Acc:MGI:96432]"
"155","TSACC","ENSG00000163467","155.1.1","Tsacc","ENSMUSG00000010538","TSSK6 activating co-chaperone [Source:MGI Symbol;Acc:MGI:1924177]"
"156","EED","ENSG00000074266","156.1.1","Eed","ENSMUSG00000030619","embryonic ectoderm development [Source:MGI Symbol;Acc:MGI:95286]"
"157","IDH1","ENSG00000138413","157.1.1","Idh1","ENSMUSG00000025950","isocitrate dehydrogenase 1 (NADP+), soluble [Source:MGI Symbol;Acc:MGI:96413]"
"158","TRIM14","ENSG00000106785","158.1.1","Trim14","ENSMUSG00000039853","tripartite motif-containing 14 [Source:MGI Symbol;Acc:MGI:1921985]"
"159","SLC38A6","ENSG00000139974","159.1.1","Slc38a6","ENSMUSG00000044712","solute carrier family 38, member 6 [Source:MGI Symbol;Acc:MGI:3648156]"
"160","EVI5","ENSG00000067208","160.1.1","Evi5","ENSMUSG00000011831","ecotropic viral integration site 5 [Source:MGI Symbol;Acc:MGI:104736]"
"161","ZFAND3","ENSG00000156639","161.1.1","Zfand3","ENSMUSG00000044477","zinc finger, AN1-type domain 3 [Source:MGI Symbol;Acc:MGI:1096572]"
