"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"45","GZF1","ENSG00000125812","45.1.1","GZF1","ENSMICG00000046070","GDNF inducible zinc finger protein 1 [Source:HGNC Symbol;Acc:HGNC:15808]"
"46","VAV3","ENSG00000134215","46.1.1","VAV3","ENSMICG00000007964","vav guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:12659]"
"47","TWF1","ENSG00000151239","47.1.1","TWF1","ENSMICG00000032658","twinfilin actin binding protein 1 [Source:HGNC Symbol;Acc:HGNC:9620]"
"48","LACC1","ENSG00000179630","48.1.1","LACC1","ENSMICG00000030834","laccase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26789]"
"49","NFIA","ENSG00000162599","49.1.1","NFIA","ENSMICG00000005075","nuclear factor I A [Source:HGNC Symbol;Acc:HGNC:7784]"
"50","TMEM106A","ENSG00000184988","50.1.1","TMEM106A","ENSMICG00000013987","transmembrane protein 106A [Source:HGNC Symbol;Acc:HGNC:28288]"
"51","RERE","ENSG00000142599","51.1.1","RERE","ENSMICG00000008489","arginine-glutamic acid dipeptide repeats [Source:HGNC Symbol;Acc:HGNC:9965]"
"52","SYNE1","ENSG00000131018","52.1.1","SYNE1","ENSMICG00000007620","spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]"
"53","FRMD4B","ENSG00000114541","53.1.1","FRMD4B","ENSMICG00000045910","FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]"
"54","EEF1A1","ENSG00000156508","54.1.1","EEF1A1","ENSMICG00000037627","eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:HGNC:3189]"
"55","HK3","ENSG00000160883","55.1.1","HK3","ENSMICG00000001910","hexokinase 3 [Source:HGNC Symbol;Acc:HGNC:4925]"
"56","DMXL1","ENSG00000172869","56.1.1","DMXL1","ENSMICG00000015937","Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]"
"57","GLIS3","ENSG00000107249","57.1.1","ENSMICG00000031277","ENSMICG00000031277",""
"58","SARS2","ENSG00000104835","58.1.1","SARS2","ENSMICG00000033729","seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17697]"
"59","CD36","ENSG00000135218","59.1.1","CD36","ENSMICG00000005187","CD36 molecule (CD36 blood group) [Source:HGNC Symbol;Acc:HGNC:1663]"
"60","ANKRD28","ENSG00000206560","60.1.1","ANKRD28","ENSMICG00000048989","ankyrin repeat domain 28 [Source:HGNC Symbol;Acc:HGNC:29024]"
"61","FMN1","ENSG00000248905","61.1.1","FMN1","ENSMICG00000004127","formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]"
"62","LRRC41","ENSG00000132128","62.1.1","LRRC41","ENSMICG00000003273","leucine rich repeat containing 41 [Source:HGNC Symbol;Acc:HGNC:16917]"
"63","PSMC2","ENSG00000161057","63.1.1","ENSMICG00000008379","ENSMICG00000008379",""
"63","PSMC2","ENSG00000161057","63.1.2","ENSMICG00000037782","ENSMICG00000037782",""
"64","TLR6","ENSG00000174130","64.1.1","TLR6","ENSMICG00000027451","toll like receptor 6 [Source:HGNC Symbol;Acc:HGNC:16711]"
"65","CORO1C","ENSG00000110880","65.1.1","CORO1C","ENSMICG00000037735","coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]"
"66","NPC2","ENSG00000119655","66.1.1","NPC2","ENSMICG00000006008","NPC intracellular cholesterol transporter 2 [Source:HGNC Symbol;Acc:HGNC:14537]"
"67","LAPTM4A","ENSG00000068697","67.1.1","LAPTM4A","ENSMICG00000031395","lysosomal protein transmembrane 4 alpha [Source:HGNC Symbol;Acc:HGNC:6924]"
"68","ZZZ3","ENSG00000036549","68.1.1","ZZZ3","ENSMICG00000004495","zinc finger ZZ-type containing 3 [Source:HGNC Symbol;Acc:HGNC:24523]"
"69","SLC25A25","ENSG00000148339","69.1.1","SLC25A25","ENSMICG00000012781","solute carrier family 25 member 25 [Source:HGNC Symbol;Acc:HGNC:20663]"
"70","MEF2C","ENSG00000081189","70.1.1","MEF2C","ENSMICG00000034356","myocyte enhancer factor 2C [Source:HGNC Symbol;Acc:HGNC:6996]"
"71","SPAG7","ENSG00000091640","71.1.1","SPAG7","ENSMICG00000012527","sperm associated antigen 7 [Source:HGNC Symbol;Acc:HGNC:11216]"
"72","ZBTB20","ENSG00000181722","72.1.1","ZBTB20","ENSMICG00000049480","zinc finger and BTB domain containing 20 [Source:HGNC Symbol;Acc:HGNC:13503]"
"73","SLC7A8","ENSG00000092068","73.1.1","SLC7A8","ENSMICG00000002594","solute carrier family 7 member 8 [Source:HGNC Symbol;Acc:HGNC:11066]"
"74","HNRNPA0","ENSG00000177733","74.1.1","N/A","N/A","N/A"
"75","SZRD1","ENSG00000055070","75.1.1","ENSMICG00000031651","ENSMICG00000031651",""
"75","SZRD1","ENSG00000055070","75.1.2","ENSMICG00000045628","ENSMICG00000045628",""
"76","REV3L","ENSG00000009413","76.1.1","REV3L","ENSMICG00000030163","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]"
"77","NISCH","ENSG00000010322","77.1.1","NISCH","ENSMICG00000002831","nischarin [Source:HGNC Symbol;Acc:HGNC:18006]"
"78","ARRDC4","ENSG00000140450","78.1.1","ARRDC4","ENSMICG00000037963","arrestin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:28087]"
"79","CTSZ","ENSG00000101160","79.1.1","CTSZ","ENSMICG00000014882","cathepsin Z [Source:HGNC Symbol;Acc:HGNC:2547]"
"80","ZBTB3","ENSG00000185670","80.1.1","ZBTB3","ENSMICG00000009961","zinc finger and BTB domain containing 3 [Source:HGNC Symbol;Acc:HGNC:22918]"
"81","ZNF446","ENSG00000083838","81.1.1","ZNF446","ENSMICG00000005466","zinc finger protein 446 [Source:HGNC Symbol;Acc:HGNC:21036]"
"82","IFNGR2","ENSG00000159128","82.1.1","IFNGR2","ENSMICG00000009314","interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]"
"83","NUF2","ENSG00000143228","83.1.1","NUF2","ENSMICG00000014089","NUF2 component of NDC80 kinetochore complex [Source:HGNC Symbol;Acc:HGNC:14621]"
"84","CEP170","ENSG00000143702","84.1.1","CEP170","ENSMICG00000011831","centrosomal protein 170 [Source:HGNC Symbol;Acc:HGNC:28920]"
"85","YJU2","ENSG00000105248","85.1.1","YJU2","ENSMICG00000030928","YJU2 splicing factor homolog [Source:HGNC Symbol;Acc:HGNC:25518]"
"86","IQGAP2","ENSG00000145703","86.1.1","IQGAP2","ENSMICG00000007353","IQ motif containing GTPase activating protein 2 [Source:HGNC Symbol;Acc:HGNC:6111]"
"87","GNPDA1","ENSG00000113552","87.1.1","GNPDA1","ENSMICG00000029750","glucosamine-6-phosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:4417]"
"88","PTPN2","ENSG00000175354","88.1.1","PTPN2","ENSMICG00000005890","protein tyrosine phosphatase non-receptor type 2 [Source:HGNC Symbol;Acc:HGNC:9650]"
"89","FKBP15","ENSG00000119321","89.1.1","FKBP15","ENSMICG00000014966","FKBP prolyl isomerase family member 15 [Source:HGNC Symbol;Acc:HGNC:23397]"
"90","MRPS28","ENSG00000147586","90.1.1","MRPS28","ENSMICG00000044873","mitochondrial ribosomal protein S28 [Source:HGNC Symbol;Acc:HGNC:14513]"
"91","STK40","ENSG00000196182","91.1.1","STK40","ENSMICG00000007931","serine/threonine kinase 40 [Source:HGNC Symbol;Acc:HGNC:21373]"
"92","FUCA1","ENSG00000179163","92.1.1","FUCA1","ENSMICG00000007213","alpha-L-fucosidase 1 [Source:HGNC Symbol;Acc:HGNC:4006]"
"93","MS4A6A","ENSG00000110077","93.1.1","ENSMICG00000010967","ENSMICG00000010967",""
"94","CD180","ENSG00000134061","94.1.1","CD180","ENSMICG00000047812","CD180 molecule [Source:HGNC Symbol;Acc:HGNC:6726]"
"95","ZRANB3","ENSG00000121988","95.1.1","ZRANB3","ENSMICG00000013893","zinc finger RANBP2-type containing 3 [Source:HGNC Symbol;Acc:HGNC:25249]"
"96","MLEC","ENSG00000110917","96.1.1","MLEC","ENSMICG00000008695","malectin [Source:HGNC Symbol;Acc:HGNC:28973]"
"97","CSF2RB","ENSG00000100368","97.1.1","CSF2RB","ENSMICG00000038577","colony stimulating factor 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:2436]"
"98","HAVCR2","ENSG00000135077","98.1.1","HAVCR2","ENSMICG00000001001","hepatitis A virus cellular receptor 2 [Source:HGNC Symbol;Acc:HGNC:18437]"
"99","SPTY2D1","ENSG00000179119","99.1.1","SPTY2D1","ENSMICG00000017602","SPT2 chromatin protein domain containing 1 [Source:HGNC Symbol;Acc:HGNC:26818]"
"100","CELF1","ENSG00000149187","100.1.1","CELF1","ENSMICG00000045113","CUGBP Elav-like family member 1 [Source:HGNC Symbol;Acc:HGNC:2549]"
"101","PRMT1","ENSG00000126457","101.1.1","PRMT1","ENSMICG00000030079","protein arginine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:5187]"
"102","CCL3L3","ENSG00000276085","102.1.1","ENSMICG00000041554","ENSMICG00000041554",""
"103","NCF2","ENSG00000116701","103.1.1","NCF2","ENSMICG00000007165","neutrophil cytosolic factor 2 [Source:HGNC Symbol;Acc:HGNC:7661]"
"104","SEC24D","ENSG00000150961","104.1.1","SEC24D","ENSMICG00000009419","SEC24 homolog D, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10706]"
"105","TBXAS1","ENSG00000059377","105.1.1","TBXAS1","ENSMICG00000003155","thromboxane A synthase 1 [Source:VGNC Symbol;Acc:VGNC:80505]"
"106","PLD3","ENSG00000105223","106.1.1","PLD3","ENSMICG00000016343","phospholipase D family member 3 [Source:HGNC Symbol;Acc:HGNC:17158]"
"107","NRP1","ENSG00000099250","107.1.1","NRP1","ENSMICG00000008497","neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]"
"108","JARID2","ENSG00000008083","108.1.1","JARID2","ENSMICG00000010642","jumonji and AT-rich interaction domain containing 2 [Source:HGNC Symbol;Acc:HGNC:6196]"
"109","ATG4C","ENSG00000125703","109.1.1","ATG4C","ENSMICG00000001538","autophagy related 4C cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:16040]"
"110","CNOT1","ENSG00000125107","110.1.1","CNOT1","ENSMICG00000007071","CCR4-NOT transcription complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7877]"
"111","PLIN3","ENSG00000105355","111.1.1","PLIN3","ENSMICG00000005543","perilipin 3 [Source:HGNC Symbol;Acc:HGNC:16893]"
"112","CCL8","ENSG00000108700","112.1.1","CCL8","ENSMICG00000037888","C-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:10635]"
"113","PLD1","ENSG00000075651","113.1.1","PLD1","ENSMICG00000049434","phospholipase D1 [Source:HGNC Symbol;Acc:HGNC:9067]"
"114","ZNF414","ENSG00000133250","114.1.1","ZNF414","ENSMICG00000006194","zinc finger protein 414 [Source:HGNC Symbol;Acc:HGNC:20630]"
"115","NMT1","ENSG00000136448","115.1.1","ENSMICG00000016650","ENSMICG00000016650",""
"115","NMT1","ENSG00000136448","115.1.2","ENSMICG00000034933","ENSMICG00000034933",""
"115","NMT1","ENSG00000136448","115.1.3","ENSMICG00000042274","ENSMICG00000042274",""
"116","ITGB5","ENSG00000082781","116.1.1","ITGB5","ENSMICG00000049531","integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]"
"117","LCP2","ENSG00000043462","117.1.1","LCP2","ENSMICG00000012579","lymphocyte cytosolic protein 2 [Source:HGNC Symbol;Acc:HGNC:6529]"
"118","SMC4","ENSG00000113810","118.1.1","ENSMICG00000049085","ENSMICG00000049085",""
"119","PSMD1","ENSG00000173692","119.1.1","PSMD1","ENSMICG00000004131","proteasome 26S subunit, non-ATPase 1 [Source:HGNC Symbol;Acc:HGNC:9554]"
"120","BLVRB","ENSG00000090013","120.1.1","BLVRB","ENSMICG00000009629","biliverdin reductase B [Source:HGNC Symbol;Acc:HGNC:1063]"
"121","PLPP3","ENSG00000162407","121.1.1","PLPP3","ENSMICG00000012602","phospholipid phosphatase 3 [Source:HGNC Symbol;Acc:HGNC:9229]"
"122","ARHGEF2","ENSG00000116584","122.1.1","ARHGEF2","ENSMICG00000002212","Rho/Rac guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:682]"
"123","JAK1","ENSG00000162434","123.1.1","JAK1","ENSMICG00000013750","Janus kinase 1 [Source:HGNC Symbol;Acc:HGNC:6190]"
"124","TENT5A","ENSG00000112773","124.1.1","TENT5A","ENSMICG00000006596","terminal nucleotidyltransferase 5A [Source:HGNC Symbol;Acc:HGNC:18345]"
"125","MKNK1","ENSG00000079277","125.1.1","N/A","N/A","N/A"
"126","CA13","ENSG00000185015","126.1.1","CA13","ENSMICG00000045686","carbonic anhydrase 13 [Source:HGNC Symbol;Acc:HGNC:14914]"
"127","POC1A","ENSG00000164087","127.1.1","POC1A","ENSMICG00000002709","POC1 centriolar protein A [Source:HGNC Symbol;Acc:HGNC:24488]"
"128","PRDX1","ENSG00000117450","128.1.1","PRDX1","ENSMICG00000014595","peroxiredoxin 1 [Source:HGNC Symbol;Acc:HGNC:9352]"
"129","SMPDL3A","ENSG00000172594","129.1.1","SMPDL3A","ENSMICG00000046662","sphingomyelin phosphodiesterase acid like 3A [Source:HGNC Symbol;Acc:HGNC:17389]"
"130","RAB39A","ENSG00000179331","130.1.1","RAB39A","ENSMICG00000045554","RAB39A, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:16521]"
"131","PPM1B","ENSG00000138032","131.1.1","PPM1B","ENSMICG00000008341","protein phosphatase, Mg2+/Mn2+ dependent 1B [Source:HGNC Symbol;Acc:HGNC:9276]"
"132","SCPEP1","ENSG00000121064","132.1.1","SCPEP1","ENSMICG00000000683","serine carboxypeptidase 1 [Source:HGNC Symbol;Acc:HGNC:29507]"
"133","KLF9","ENSG00000119138","133.1.1","KLF9","ENSMICG00000047539","KLF transcription factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]"
"134","RAD51B","ENSG00000182185","134.1.1","RAD51B","ENSMICG00000010890","RAD51 paralog B [Source:HGNC Symbol;Acc:HGNC:9822]"
"135","PRDM1","ENSG00000057657","135.1.1","PRDM1","ENSMICG00000010329","PR/SET domain 1 [Source:HGNC Symbol;Acc:HGNC:9346]"
"136","CSF1R","ENSG00000182578","136.1.1","CSF1R","ENSMICG00000002770","colony stimulating factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:2433]"
"137","RHOG","ENSG00000177105","137.1.1","RHOG","ENSMICG00000044004","ras homolog family member G [Source:HGNC Symbol;Acc:HGNC:672]"
"138","RNF44","ENSG00000146083","138.1.1","RNF44","ENSMICG00000009971","ring finger protein 44 [Source:HGNC Symbol;Acc:HGNC:19180]"
"139","TMEM37","ENSG00000171227","139.1.1","TMEM37","ENSMICG00000000295","transmembrane protein 37 [Source:HGNC Symbol;Acc:HGNC:18216]"
"140","LYST","ENSG00000143669","140.1.1","LYST","ENSMICG00000009412","lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]"
"141","GPR107","ENSG00000148358","141.1.1","GPR107","ENSMICG00000009620","G protein-coupled receptor 107 [Source:HGNC Symbol;Acc:HGNC:17830]"
"142","CLTC","ENSG00000141367","142.1.1","CLTC","ENSMICG00000003591","clathrin heavy chain [Source:HGNC Symbol;Acc:HGNC:2092]"
"143","MGST3","ENSG00000143198","143.1.1","MGST3","ENSMICG00000008309","microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:HGNC:7064]"
"144","RCBTB2","ENSG00000136161","144.1.1","RCBTB2","ENSMICG00000001761","RCC1 and BTB domain containing protein 2 [Source:HGNC Symbol;Acc:HGNC:1914]"
"145","KAT7","ENSG00000136504","145.1.1","KAT7","ENSMICG00000016478","lysine acetyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:17016]"
"146","AKAP13","ENSG00000170776","146.1.1","AKAP13","ENSMICG00000013618","A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]"
"147","TREX1","ENSG00000213689","147.1.1","TREX1","ENSMICG00000026587","three prime repair exonuclease 1 [Source:HGNC Symbol;Acc:HGNC:12269]"
"148","NRP2","ENSG00000118257","148.1.1","NRP2","ENSMICG00000009376","neuropilin 2 [Source:HGNC Symbol;Acc:HGNC:8005]"
"149","ZDHHC5","ENSG00000156599","149.1.1","ZDHHC5","ENSMICG00000004899","zinc finger DHHC-type palmitoyltransferase 5 [Source:HGNC Symbol;Acc:HGNC:18472]"
"150","B9D2","ENSG00000123810","150.1.1","B9D2","ENSMICG00000027358","B9 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28636]"
"151","TRIB1","ENSG00000173334","151.1.1","TRIB1","ENSMICG00000041712","tribbles pseudokinase 1 [Source:HGNC Symbol;Acc:HGNC:16891]"
"152","SH3BP2","ENSG00000087266","152.1.1","SH3BP2","ENSMICG00000002298","SH3 domain binding protein 2 [Source:HGNC Symbol;Acc:HGNC:10825]"
"153","NR1D1","ENSG00000126368","153.1.1","NR1D1","ENSMICG00000003310","nuclear receptor subfamily 1 group D member 1 [Source:HGNC Symbol;Acc:HGNC:7962]"
"154","IGF1","ENSG00000017427","154.1.1","IGF1","ENSMICG00000001960","insulin like growth factor 1 [Source:HGNC Symbol;Acc:HGNC:5464]"
"155","TSACC","ENSG00000163467","155.1.1","TSACC","ENSMICG00000002266","TSSK6 activating cochaperone [Source:HGNC Symbol;Acc:HGNC:30636]"
"156","EED","ENSG00000074266","156.1.1","ENSMICG00000010728","ENSMICG00000010728",""
"156","EED","ENSG00000074266","156.1.2","ENSMICG00000037019","ENSMICG00000037019",""
"157","IDH1","ENSG00000138413","157.1.1","IDH1","ENSMICG00000031243","isocitrate dehydrogenase (NADP(+)) 1 [Source:HGNC Symbol;Acc:HGNC:5382]"
"158","TRIM14","ENSG00000106785","158.1.1","TRIM14","ENSMICG00000029235","tripartite motif containing 14 [Source:HGNC Symbol;Acc:HGNC:16283]"
"159","SLC38A6","ENSG00000139974","159.1.1","SLC38A6","ENSMICG00000017681","solute carrier family 38 member 6 [Source:HGNC Symbol;Acc:HGNC:19863]"
"160","EVI5","ENSG00000067208","160.1.1","EVI5","ENSMICG00000011788","ecotropic viral integration site 5 [Source:HGNC Symbol;Acc:HGNC:3501]"
"161","ZFAND3","ENSG00000156639","161.1.1","ZFAND3","ENSMICG00000017233","zinc finger AN1-type containing 3 [Source:HGNC Symbol;Acc:HGNC:18019]"
"162","ARRB2","ENSG00000141480","162.1.1","ARRB2","ENSMICG00000001643","arrestin beta 2 [Source:HGNC Symbol;Acc:HGNC:712]"
"163","PFN1","ENSG00000108518","163.1.1","N/A","N/A","N/A"
"164","DUSP1","ENSG00000120129","164.1.1","DUSP1","ENSMICG00000031119","dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:3064]"
"165","USP16","ENSG00000156256","165.1.1","USP16","ENSMICG00000031747","ubiquitin specific peptidase 16 [Source:HGNC Symbol;Acc:HGNC:12614]"
"166","DCTN4","ENSG00000132912","166.1.1","DCTN4","ENSMICG00000035522","dynactin subunit 4 [Source:HGNC Symbol;Acc:HGNC:15518]"
"167","NASP","ENSG00000132780","167.1.1","NASP","ENSMICG00000008415","nuclear autoantigenic sperm protein [Source:HGNC Symbol;Acc:HGNC:7644]"
"168","KAT6A","ENSG00000083168","168.1.1","KAT6A","ENSMICG00000006961","lysine acetyltransferase 6A [Source:HGNC Symbol;Acc:HGNC:13013]"
"169","FAM107B","ENSG00000065809","169.1.1","FAM107B","ENSMICG00000029614","family with sequence similarity 107 member B [Source:HGNC Symbol;Acc:HGNC:23726]"
"170","LRP1","ENSG00000123384","170.1.1","LRP1","ENSMICG00000012273","LDL receptor related protein 1 [Source:HGNC Symbol;Acc:HGNC:6692]"
"171","RASSF2","ENSG00000101265","171.1.1","RASSF2","ENSMICG00000014332","Ras association domain family member 2 [Source:HGNC Symbol;Acc:HGNC:9883]"
"172","EGR2","ENSG00000122877","172.1.1","EGR2","ENSMICG00000032124","early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]"
"173","AHNAK","ENSG00000124942","173.1.1","AHNAK","ENSMICG00000031530","AHNAK nucleoprotein [Source:HGNC Symbol;Acc:HGNC:347]"
"174","AP2M1","ENSG00000161203","174.1.1","AP2M1","ENSMICG00000048935","adaptor related protein complex 2 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:564]"
