"g#","initial_alias","initial_ensg","o#","ortholog_name","ortholog_ensg","description"
"17","SLC7A7","ENSG00000155465","17.1.1","slc7a7","ENSDARG00000055226","solute carrier family 7 member 7 [Source:ZFIN;Acc:ZDB-GENE-051127-5]"
"18","MITF","ENSG00000187098","18.1.1","mitfa","ENSDARG00000003732","melanocyte inducing transcription factor a [Source:ZFIN;Acc:ZDB-GENE-990910-11]"
"18","MITF","ENSG00000187098","18.1.2","mitfb","ENSDARG00000037833","melanocyte inducing transcription factor b [Source:ZFIN;Acc:ZDB-GENE-010919-1]"
"19","LY86","ENSG00000112799","19.1.1","ly86","ENSDARG00000090649","lymphocyte antigen 86 [Source:ZFIN;Acc:ZDB-GENE-150709-1]"
"20","AKT1S1","ENSG00000204673","20.1.1","akt1s1","ENSDARG00000074667","AKT1 substrate 1 (proline-rich) [Source:ZFIN;Acc:ZDB-GENE-030131-482]"
"21","ANG","ENSG00000214274","21.1.1","N/A","N/A","N/A"
"22","BLNK","ENSG00000095585","22.1.1","blnk","ENSDARG00000042722","B cell linker [Source:ZFIN;Acc:ZDB-GENE-040702-4]"
"23","CREM","ENSG00000095794","23.1.1","crema","ENSDARG00000023217","cAMP responsive element modulator a [Source:ZFIN;Acc:ZDB-GENE-030131-7031]"
"24","LPXN","ENSG00000110031","24.1.1","ENSDARG00000079315","ENSDARG00000079315",""
"25","PRRC2A","ENSG00000204469","25.1.1","prrc2a","ENSDARG00000031494","proline-rich coiled-coil 2A [Source:ZFIN;Acc:ZDB-GENE-010501-4]"
"26","ALOX5AP","ENSG00000132965","26.1.1","alox5ap","ENSDARG00000054755","arachidonate 5-lipoxygenase-activating protein [Source:ZFIN;Acc:ZDB-GENE-030131-9322]"
"27","SLC41A2","ENSG00000136052","27.1.1","slc41a2b","ENSDARG00000073881","solute carrier family 41 member 2b [Source:ZFIN;Acc:ZDB-GENE-100427-2]"
"27","SLC41A2","ENSG00000136052","27.1.2","slc41a2a","ENSDARG00000075803","solute carrier family 41 member 2a [Source:ZFIN;Acc:ZDB-GENE-130530-781]"
"28","EVL","ENSG00000196405","28.1.1","evla","ENSDARG00000035650","Enah/Vasp-like a [Source:ZFIN;Acc:ZDB-GENE-000607-65]"
"28","EVL","ENSG00000196405","28.1.2","evlb","ENSDARG00000099720","Enah/Vasp-like b [Source:ZFIN;Acc:ZDB-GENE-040426-1804]"
"29","CFAP45","ENSG00000213085","29.1.1","cfap45","ENSDARG00000068103","cilia and flagella associated protein 45 [Source:ZFIN;Acc:ZDB-GENE-070209-143]"
"30","BACH1","ENSG00000156273","30.1.1","bach1b","ENSDARG00000002196","BTB and CNC homology 1, basic leucine zipper transcription factor 1 b [Source:ZFIN;Acc:ZDB-GENE-050522-220]"
"30","BACH1","ENSG00000156273","30.1.2","bach1a","ENSDARG00000062553","BTB and CNC homology 1, basic leucine zipper transcription factor 1 a [Source:ZFIN;Acc:ZDB-GENE-060421-7601]"
"31","ZNF217","ENSG00000171940","31.1.1","znf217","ENSDARG00000088123","zinc finger protein 217 [Source:ZFIN;Acc:ZDB-GENE-030131-2542]"
"32","SELENOP","ENSG00000250722","32.1.1","N/A","N/A","N/A"
"33","SUFU","ENSG00000107882","33.1.1","sufu","ENSDARG00000056801","suppressor of fused homolog (Drosophila) [Source:ZFIN;Acc:ZDB-GENE-030131-6223]"
"34","PLEKHH3","ENSG00000068137","34.1.1","PLEKHH3","ENSDARG00000070174","si:ch211-18i17.2 [Source:ZFIN;Acc:ZDB-GENE-030131-5404]"
"35","PLA2G6","ENSG00000184381","35.1.1","pla2g6","ENSDARG00000060921","phospholipase A2, group VI (cytosolic, calcium-independent) [Source:ZFIN;Acc:ZDB-GENE-040426-2079]"
"36","SUCO","ENSG00000094975","36.1.1","suco","ENSDARG00000016532","SUN domain containing ossification factor [Source:ZFIN;Acc:ZDB-GENE-030131-2941]"
"37","HK2","ENSG00000159399","37.1.1","hk2","ENSDARG00000101482","hexokinase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-2017]"
"38","SEC23B","ENSG00000101310","38.1.1","sec23b","ENSDARG00000019360","SEC23 homolog B, coat complex II component [Source:ZFIN;Acc:ZDB-GENE-030131-5479]"
"39","RNF13","ENSG00000082996","39.1.1","rnf13","ENSDARG00000019438","ring finger protein 13 [Source:ZFIN;Acc:ZDB-GENE-040426-772]"
"40","SLA","ENSG00000155926","40.1.1","sla1a","ENSDARG00000054340","Src like adaptor 1a [Source:ZFIN;Acc:ZDB-GENE-050904-3]"
"40","SLA","ENSG00000155926","40.1.2","SLA","ENSDARG00000100287","Src like adaptor [Source:HGNC Symbol;Acc:HGNC:10902]"
"41","FRMD4A","ENSG00000151474","41.1.1","frmd4a","ENSDARG00000042249","FERM domain containing 4A [Source:ZFIN;Acc:ZDB-GENE-050419-154]"
"42","DCAF11","ENSG00000100897","42.1.1","dcaf11","ENSDARG00000009868","ddb1 and cul4 associated factor 11 [Source:ZFIN;Acc:ZDB-GENE-050809-116]"
"43","SLC38A7","ENSG00000103042","43.1.1","slc38a7","ENSDARG00000012002","solute carrier family 38 member 7 [Source:ZFIN;Acc:ZDB-GENE-040801-266]"
"44","STIM1","ENSG00000167323","44.1.1","stim1a","ENSDARG00000060723","stromal interaction molecule 1a [Source:ZFIN;Acc:ZDB-GENE-060503-914]"
"44","STIM1","ENSG00000167323","44.1.2","stim1b","ENSDARG00000061560","stromal interaction molecule 1b [Source:ZFIN;Acc:ZDB-GENE-060531-4]"
"45","GZF1","ENSG00000125812","45.1.1","N/A","N/A","N/A"
"46","VAV3","ENSG00000134215","46.1.1","ENSDARG00000057107","ENSDARG00000057107",""
"46","VAV3","ENSG00000134215","46.1.2","vav3b","ENSDARG00000075962","vav 3 guanine nucleotide exchange factor b [Source:ZFIN;Acc:ZDB-GENE-070912-251]"
"46","VAV3","ENSG00000134215","46.1.3","ENSDARG00000086623","ENSDARG00000086623",""
"47","TWF1","ENSG00000151239","47.1.1","twf1b","ENSDARG00000011661","twinfilin actin-binding protein 1b [Source:ZFIN;Acc:ZDB-GENE-040711-3]"
"47","TWF1","ENSG00000151239","47.1.2","twf1a","ENSDARG00000115712","twinfilin actin-binding protein 1a [Source:ZFIN;Acc:ZDB-GENE-030131-4402]"
"48","LACC1","ENSG00000179630","48.1.1","lacc1","ENSDARG00000076914","laccase (multicopper oxidoreductase) domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-081104-155]"
"49","NFIA","ENSG00000162599","49.1.1","nfia","ENSDARG00000062420","nuclear factor I/A [Source:ZFIN;Acc:ZDB-GENE-050208-501]"
"50","TMEM106A","ENSG00000184988","50.1.1","N/A","N/A","N/A"
"51","RERE","ENSG00000142599","51.1.1","N/A","N/A","N/A"
"52","SYNE1","ENSG00000131018","52.1.1","SYNE1","ENSDARG00000063068","spectrin repeat containing nuclear envelope protein 1 [Source:HGNC Symbol;Acc:HGNC:17089]"
"53","FRMD4B","ENSG00000114541","53.1.1","FRMD4B","ENSDARG00000074599","FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]"
"53","FRMD4B","ENSG00000114541","53.1.2","FRMD4B","ENSDARG00000076496","FERM domain containing 4B [Source:HGNC Symbol;Acc:HGNC:24886]"
"54","EEF1A1","ENSG00000156508","54.1.1","eef1a1a","ENSDARG00000039502","eukaryotic translation elongation factor 1 alpha 1a [Source:ZFIN;Acc:ZDB-GENE-030131-8278]"
"54","EEF1A1","ENSG00000156508","54.1.2","eef1a1b","ENSDARG00000069951","eukaryotic translation elongation factor 1 alpha 1b [Source:ZFIN;Acc:ZDB-GENE-050417-327]"
"55","HK3","ENSG00000160883","55.1.1","N/A","N/A","N/A"
"56","DMXL1","ENSG00000172869","56.1.1","DMXL1","ENSDARG00000098599","Dmx like 1 [Source:HGNC Symbol;Acc:HGNC:2937]"
"57","GLIS3","ENSG00000107249","57.1.1","glis3","ENSDARG00000069726","GLIS family zinc finger 3 [Source:ZFIN;Acc:ZDB-GENE-070112-2232]"
"58","SARS2","ENSG00000104835","58.1.1","sars2","ENSDARG00000102736","seryl-tRNA synthetase 2, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-040426-1616]"
"59","CD36","ENSG00000135218","59.1.1","cd36","ENSDARG00000032639","CD36 molecule (CD36 blood group) [Source:ZFIN;Acc:ZDB-GENE-040718-55]"
"60","ANKRD28","ENSG00000206560","60.1.1","ankrd28b","ENSDARG00000009023","ankyrin repeat domain 28b [Source:ZFIN;Acc:ZDB-GENE-070622-4]"
"60","ANKRD28","ENSG00000206560","60.1.2","ENSDARG00000086326","ENSDARG00000086326",""
"61","FMN1","ENSG00000248905","61.1.1","FMN1","ENSDARG00000011975","formin 1 [Source:HGNC Symbol;Acc:HGNC:3768]"
"61","FMN1","ENSG00000248905","61.1.2","ENSDARG00000100805","ENSDARG00000100805",""
"61","FMN1","ENSG00000248905","61.1.3","ENSDARG00000102003","ENSDARG00000102003",""
"62","LRRC41","ENSG00000132128","62.1.1","lrrc41","ENSDARG00000096306","leucine rich repeat containing 41 [Source:ZFIN;Acc:ZDB-GENE-120215-249]"
"63","PSMC2","ENSG00000161057","63.1.1","psmc2","ENSDARG00000020101","proteasome 26S subunit, ATPase 2 [Source:ZFIN;Acc:ZDB-GENE-040426-1327]"
"64","TLR6","ENSG00000174130","64.1.1","tlr1","ENSDARG00000100649","toll-like receptor 1 [Source:ZFIN;Acc:ZDB-GENE-040220-1]"
"65","CORO1C","ENSG00000110880","65.1.1","coro1cb","ENSDARG00000021193","coronin, actin binding protein, 1Cb [Source:ZFIN;Acc:ZDB-GENE-030131-418]"
"65","CORO1C","ENSG00000110880","65.1.2","coro1ca","ENSDARG00000035598","coronin, actin binding protein, 1Ca [Source:ZFIN;Acc:ZDB-GENE-030114-6]"
"66","NPC2","ENSG00000119655","66.1.1","npc2.1","ENSDARG00000090912","NPC intracellular cholesterol transporter 2, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-021206-13]"
"66","NPC2","ENSG00000119655","66.1.2","npc2.2","ENSDARG00000096979","NPC intracellular cholesterol transporter 2, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-080723-11]"
"67","LAPTM4A","ENSG00000068697","67.1.1","laptm4a","ENSDARG00000006397","lysosomal protein transmembrane 4 alpha [Source:ZFIN;Acc:ZDB-GENE-030131-1024]"
"68","ZZZ3","ENSG00000036549","68.1.1","zzz3","ENSDARG00000077581","zinc finger, ZZ-type containing 3 [Source:ZFIN;Acc:ZDB-GENE-030131-6450]"
"69","SLC25A25","ENSG00000148339","69.1.1","slc25a25a","ENSDARG00000010572","solute carrier family 25 member 25a [Source:ZFIN;Acc:ZDB-GENE-040426-2396]"
"69","SLC25A25","ENSG00000148339","69.1.2","slc25a25b","ENSDARG00000035468","solute carrier family 25 member 25b [Source:ZFIN;Acc:ZDB-GENE-060526-340]"
"69","SLC25A25","ENSG00000148339","69.1.3","slc25a24l","ENSDARG00000038977","solute carrier family 25 member 24, like [Source:ZFIN;Acc:ZDB-GENE-040923-1]"
"70","MEF2C","ENSG00000081189","70.1.1","mef2cb","ENSDARG00000009418","myocyte enhancer factor 2cb [Source:ZFIN;Acc:ZDB-GENE-040901-7]"
"70","MEF2C","ENSG00000081189","70.1.2","mef2ca","ENSDARG00000029764","myocyte enhancer factor 2ca [Source:ZFIN;Acc:ZDB-GENE-980526-253]"
"71","SPAG7","ENSG00000091640","71.1.1","spag7","ENSDARG00000011555","sperm associated antigen 7 [Source:ZFIN;Acc:ZDB-GENE-040426-1632]"
"72","ZBTB20","ENSG00000181722","72.1.1","zbtb20","ENSDARG00000005586","zinc finger and BTB domain containing 20 [Source:ZFIN;Acc:ZDB-GENE-070112-1992]"
"73","SLC7A8","ENSG00000092068","73.1.1","ENSDARG00000054343","ENSDARG00000054343",""
"73","SLC7A8","ENSG00000092068","73.1.2","slc7a8a","ENSDARG00000075831","solute carrier family 7 member 8a [Source:ZFIN;Acc:ZDB-GENE-121120-2]"
"74","HNRNPA0","ENSG00000177733","74.1.1","N/A","N/A","N/A"
"75","SZRD1","ENSG00000055070","75.1.1","szrd1","ENSDARG00000056338","SUZ RNA binding domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-55]"
"76","REV3L","ENSG00000009413","76.1.1","REV3L","ENSDARG00000058801","REV3 like, DNA directed polymerase zeta catalytic subunit [Source:HGNC Symbol;Acc:HGNC:9968]"
"77","NISCH","ENSG00000010322","77.1.1","nisch","ENSDARG00000043077","nischarin [Source:ZFIN;Acc:ZDB-GENE-050208-570]"
"78","ARRDC4","ENSG00000140450","78.1.1","N/A","N/A","N/A"
"79","CTSZ","ENSG00000101160","79.1.1","ctsz","ENSDARG00000043081","cathepsin Z [Source:ZFIN;Acc:ZDB-GENE-041010-139]"
"80","ZBTB3","ENSG00000185670","80.1.1","zbtb3","ENSDARG00000036235","zinc finger and BTB domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-050506-105]"
"81","ZNF446","ENSG00000083838","81.1.1","plagx","ENSDARG00000036855","pleiomorphic adenoma gene X [Source:ZFIN;Acc:ZDB-GENE-030131-839]"
"81","ZNF446","ENSG00000083838","81.1.2","ovol1a","ENSDARG00000076472","ovo-like zinc finger 1a [Source:ZFIN;Acc:ZDB-GENE-031010-37]"
"81","ZNF446","ENSG00000083838","81.1.3","plagl2","ENSDARG00000076657","pleiomorphic adenoma gene-like 2 [Source:ZFIN;Acc:ZDB-GENE-020806-1]"
"81","ZNF446","ENSG00000083838","81.1.4","ovol1b","ENSDARG00000078256","ovo-like zinc finger 1b [Source:ZFIN;Acc:ZDB-GENE-091204-357]"
"82","IFNGR2","ENSG00000159128","82.1.1","N/A","N/A","N/A"
"83","NUF2","ENSG00000143228","83.1.1","nuf2","ENSDARG00000034624","UF2 component of NDC80 kinetochore complex [Source:ZFIN;Acc:ZDB-GENE-040426-1121]"
"84","CEP170","ENSG00000143702","84.1.1","cep170aa","ENSDARG00000006128","centrosomal protein 170Aa [Source:ZFIN;Acc:ZDB-GENE-090312-109]"
"85","YJU2","ENSG00000105248","85.1.1","yju2","ENSDARG00000026185","YJU2 splicing factor homolog [Source:ZFIN;Acc:ZDB-GENE-040426-841]"
"86","IQGAP2","ENSG00000145703","86.1.1","N/A","N/A","N/A"
"87","GNPDA1","ENSG00000113552","87.1.1","gnpda1","ENSDARG00000037307","glucosamine-6-phosphate deaminase 1 [Source:ZFIN;Acc:ZDB-GENE-050417-417]"
"88","PTPN2","ENSG00000175354","88.1.1","ptpn2a","ENSDARG00000016481","protein tyrosine phosphatase non-receptor type 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1196]"
"88","PTPN2","ENSG00000175354","88.1.2","ptpn2b","ENSDARG00000035986","protein tyrosine phosphatase non-receptor type 2b [Source:ZFIN;Acc:ZDB-GENE-030909-8]"
"89","FKBP15","ENSG00000119321","89.1.1","fkbp15a","ENSDARG00000095142","FKBP prolyl isomerase family member 15a [Source:ZFIN;Acc:ZDB-GENE-060526-98]"
"89","FKBP15","ENSG00000119321","89.1.2","fkbp15b","ENSDARG00000099294","FKBP prolyl isomerase family member 15b [Source:ZFIN;Acc:ZDB-GENE-081105-181]"
"90","MRPS28","ENSG00000147586","90.1.1","mrps28","ENSDARG00000041538","mitochondrial ribosomal protein S28 [Source:ZFIN;Acc:ZDB-GENE-061110-52]"
"91","STK40","ENSG00000196182","91.1.1","stk40","ENSDARG00000098135","serine/threonine kinase 40 [Source:ZFIN;Acc:ZDB-GENE-030131-4831]"
"92","FUCA1","ENSG00000179163","92.1.1","fuca1.2","ENSDARG00000035879","alpha-L-fucosidase 1, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-040801-78]"
"92","FUCA1","ENSG00000179163","92.1.2","fuca1.1","ENSDARG00000035890","alpha-L-fucosidase 1, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030131-7434]"
"93","MS4A6A","ENSG00000110077","93.1.1","ms4a17a.6","ENSDARG00000007018","membrane-spanning 4-domains, subfamily A, member 17A.6 [Source:ZFIN;Acc:ZDB-GENE-070209-265]"
"93","MS4A6A","ENSG00000110077","93.1.2","ms4a17a.4","ENSDARG00000014024","membrane-spanning 4-domains, subfamily A, member 17A.4 [Source:ZFIN;Acc:ZDB-GENE-070822-16]"
"93","MS4A6A","ENSG00000110077","93.1.3","si:dkey-77f5.10","ENSDARG00000020548","si:dkey-77f5.10 [Source:ZFIN;Acc:ZDB-GENE-131121-133]"
"93","MS4A6A","ENSG00000110077","93.1.4","zgc:113425","ENSDARG00000026616","zgc:113425 [Source:ZFIN;Acc:ZDB-GENE-050320-128]"
"93","MS4A6A","ENSG00000110077","93.1.5","ENSDARG00000028659","ENSDARG00000028659",""
"93","MS4A6A","ENSG00000110077","93.1.6","ms4a17a.7","ENSDARG00000043796","membrane-spanning 4-domains, subfamily A, member 17A.7 [Source:ZFIN;Acc:ZDB-GENE-080829-2]"
"93","MS4A6A","ENSG00000110077","93.1.7","ms4a17a.1","ENSDARG00000043798","membrane-spanning 4-domains, subfamily A, member 17A.1 [Source:ZFIN;Acc:ZDB-GENE-050417-307]"
"93","MS4A6A","ENSG00000110077","93.1.8","ms4a17a.8","ENSDARG00000043802","membrane-spanning 4-domains, subfamily A, member 17A.8 [Source:ZFIN;Acc:ZDB-GENE-070705-365]"
"93","MS4A6A","ENSG00000110077","93.1.9","ms4a17a.12","ENSDARG00000053563","membrane-spanning 4-domains, subfamily A, member 17A.12 [Source:ZFIN;Acc:ZDB-GENE-080829-4]"
"93","MS4A6A","ENSG00000110077","93.1.10","ms4a17a.16","ENSDARG00000054898","membrane-spanning 4-domains, subfamily A, member 17A.16 [Source:ZFIN;Acc:ZDB-GENE-060825-240]"
"93","MS4A6A","ENSG00000110077","93.1.11","si:dkey-7j14.6","ENSDARG00000090552","si:dkey-7j14.6 [Source:ZFIN;Acc:ZDB-GENE-030131-8466]"
"93","MS4A6A","ENSG00000110077","93.1.12","ms4a17a.3","ENSDARG00000091970","membrane-spanning 4-domains, subfamily A, member 17A.3 [Source:ZFIN;Acc:ZDB-GENE-080829-1]"
"93","MS4A6A","ENSG00000110077","93.1.13","ms4a17a.5","ENSDARG00000092204","membrane-spanning 4-domains, subfamily A, member 17A.5 [Source:ZFIN;Acc:ZDB-GENE-040912-55]"
"93","MS4A6A","ENSG00000110077","93.1.14","ENSDARG00000092593","ENSDARG00000092593",""
"93","MS4A6A","ENSG00000110077","93.1.15","ENSDARG00000093512","ENSDARG00000093512",""
"93","MS4A6A","ENSG00000110077","93.1.16","si:ch73-56d11.5","ENSDARG00000093546","si:ch73-56d11.5 [Source:ZFIN;Acc:ZDB-GENE-161017-12]"
"93","MS4A6A","ENSG00000110077","93.1.17","ms4a17c.1","ENSDARG00000094643","membrane-spanning 4-domains, subfamily A, member 17C.1 [Source:ZFIN;Acc:ZDB-GENE-080829-9]"
"93","MS4A6A","ENSG00000110077","93.1.18","ms4a17a.11","ENSDARG00000094809","membrane-spanning 4-domains, subfamily A, member 17A.11 [Source:ZFIN;Acc:ZDB-GENE-050417-157]"
"93","MS4A6A","ENSG00000110077","93.1.19","ms4a17a.9","ENSDARG00000094854","membrane-spanning 4-domains, subfamily A, member 17A.9 [Source:ZFIN;Acc:ZDB-GENE-050320-79]"
"93","MS4A6A","ENSG00000110077","93.1.20","ms4a17a.10","ENSDARG00000095695","membrane-spanning 4-domains, subfamily A, member 17A.10 [Source:ZFIN;Acc:ZDB-GENE-080829-3]"
"93","MS4A6A","ENSG00000110077","93.1.21","si:ch73-56d11.3","ENSDARG00000097527","si:ch73-56d11.3 [Source:ZFIN;Acc:ZDB-GENE-131126-22]"
"93","MS4A6A","ENSG00000110077","93.1.22","tmem176l.3a","ENSDARG00000098387","transmembrane protein 176l.3a [Source:ZFIN;Acc:ZDB-GENE-080829-13]"
"93","MS4A6A","ENSG00000110077","93.1.23","ms4a17a.2","ENSDARG00000105674","membrane-spanning 4-domains, subfamily A, member 17a.2 [Source:ZFIN;Acc:ZDB-GENE-070705-367]"
"93","MS4A6A","ENSG00000110077","93.1.24","ms4a17a.17","ENSDARG00000116378","membrane-spanning 4-domains, subfamily A, member 17A.17 [Source:ZFIN;Acc:ZDB-GENE-070424-27]"
"94","CD180","ENSG00000134061","94.1.1","cd180","ENSDARG00000093750","CD180 molecule [Source:ZFIN;Acc:ZDB-GENE-070705-323]"
"95","ZRANB3","ENSG00000121988","95.1.1","zranb3","ENSDARG00000091538","zinc finger, RAN-binding domain containing 3 [Source:ZFIN;Acc:ZDB-GENE-060712-1]"
"96","MLEC","ENSG00000110917","96.1.1","mlec","ENSDARG00000059630","malectin [Source:ZFIN;Acc:ZDB-GENE-081105-187]"
"97","CSF2RB","ENSG00000100368","97.1.1","N/A","N/A","N/A"
"98","HAVCR2","ENSG00000135077","98.1.1","N/A","N/A","N/A"
"99","SPTY2D1","ENSG00000179119","99.1.1","spty2d1","ENSDARG00000033889","SPT2 chromatin protein domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-050522-212]"
"100","CELF1","ENSG00000149187","100.1.1","celf1","ENSDARG00000005315","cugbp, Elav-like family member 1 [Source:ZFIN;Acc:ZDB-GENE-000501-1]"
"101","PRMT1","ENSG00000126457","101.1.1","prmt1","ENSDARG00000010246","protein arginine methyltransferase 1 [Source:ZFIN;Acc:ZDB-GENE-030131-693]"
"102","CCL3L3","ENSG00000276085","102.1.1","ccl35.2","ENSDARG00000070378","chemokine (C-C motif) ligand 35, duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-140718-1]"
"102","CCL3L3","ENSG00000276085","102.1.2","ccl35.1","ENSDARG00000103466","chemokine (C-C motif) ligand 35, duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-081022-33]"
"103","NCF2","ENSG00000116701","103.1.1","ncf2","ENSDARG00000005821","neutrophil cytosolic factor 2 [Source:ZFIN;Acc:ZDB-GENE-070209-29]"
"104","SEC24D","ENSG00000150961","104.1.1","sec24d","ENSDARG00000045946","SEC24 homolog D, COPII coat complex component [Source:ZFIN;Acc:ZDB-GENE-070117-2501]"
"105","TBXAS1","ENSG00000059377","105.1.1","tbxas1","ENSDARG00000002249","thromboxane A synthase 1 (platelet) [Source:ZFIN;Acc:ZDB-GENE-030131-8805]"
"106","PLD3","ENSG00000105223","106.1.1","pld3","ENSDARG00000068199","phospholipase D family member 3 [Source:ZFIN;Acc:ZDB-GENE-050419-212]"
"107","NRP1","ENSG00000099250","107.1.1","nrp1a","ENSDARG00000102153","neuropilin 1a [Source:ZFIN;Acc:ZDB-GENE-030519-2]"
"108","JARID2","ENSG00000008083","108.1.1","jarid2a","ENSDARG00000060925","jumonji and AT-rich interaction domain containing 2a [Source:ZFIN;Acc:ZDB-GENE-061218-1]"
"108","JARID2","ENSG00000008083","108.1.2","jarid2b","ENSDARG00000062268","jumonji and AT-rich interaction domain containing 2b [Source:ZFIN;Acc:ZDB-GENE-060503-246]"
"109","ATG4C","ENSG00000125703","109.1.1","atg4c","ENSDARG00000044373","autophagy related 4C, cysteine peptidase [Source:ZFIN;Acc:ZDB-GENE-040625-84]"
"110","CNOT1","ENSG00000125107","110.1.1","cnot1","ENSDARG00000004174","CCR4-NOT transcription complex, subunit 1 [Source:ZFIN;Acc:ZDB-GENE-040915-1]"
"111","PLIN3","ENSG00000105355","111.1.1","plin3","ENSDARG00000013711","perilipin 3 [Source:ZFIN;Acc:ZDB-GENE-030131-7218]"
"112","CCL8","ENSG00000108700","112.1.1","N/A","N/A","N/A"
"113","PLD1","ENSG00000075651","113.1.1","pld1a","ENSDARG00000056228","phospholipase D1a [Source:ZFIN;Acc:ZDB-GENE-031002-2]"
"113","PLD1","ENSG00000075651","113.1.2","pld1b","ENSDARG00000057125","phospholipase D1b [Source:ZFIN;Acc:ZDB-GENE-070510-3]"
"114","ZNF414","ENSG00000133250","114.1.1","znf414","ENSDARG00000079229","zinc finger protein 414 [Source:ZFIN;Acc:ZDB-GENE-070912-571]"
"115","NMT1","ENSG00000136448","115.1.1","nmt1a","ENSDARG00000052966","N-myristoyltransferase 1a [Source:ZFIN;Acc:ZDB-GENE-050522-477]"
"115","NMT1","ENSG00000136448","115.1.2","nmt1b","ENSDARG00000057206","N-myristoyltransferase 1b [Source:ZFIN;Acc:ZDB-GENE-081222-3]"
"116","ITGB5","ENSG00000082781","116.1.1","itgb5","ENSDARG00000012942","integrin, beta 5 [Source:ZFIN;Acc:ZDB-GENE-030131-6022]"
"117","LCP2","ENSG00000043462","117.1.1","lcp2b","ENSDARG00000036215","lymphocyte cytosolic protein 2b [Source:ZFIN;Acc:ZDB-GENE-081107-21]"
"117","LCP2","ENSG00000043462","117.1.2","lcp2a","ENSDARG00000055955","lymphocyte cytosolic protein 2a [Source:ZFIN;Acc:ZDB-GENE-041114-97]"
