"","Gene1ID","Gene1Symbol","Gene1SpeciesTaxonID","Gene1SpeciesName","Gene2ID","Gene2Symbol","Gene2SpeciesTaxonID","Gene2SpeciesName","Algorithms","AlgorithmsMatch","OutOfAlgorithms","IsBestScore","IsBestRevScore"
"11","HGNC:11772","TGFBR1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865194","tgfbr1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"12","HGNC:11772","TGFBR1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333207","tgfbr1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"13","HGNC:1323","C4A","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-478885","c4a.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"14","HGNC:19164","STARD13","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865223","stard13.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"15","HGNC:19164","STARD13","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17329996","stard13.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"16","HGNC:5238","HSPA5","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865337","hspa5.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"17","HGNC:5238","HSPA5","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331987","hspa5.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"18","HGNC:11892","TNF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-1193620","tnf.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"19","HGNC:11892","TNF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335928","tnf.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"20","HGNC:6018","IL6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6489373","il6.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"21","HGNC:6018","IL6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17342859","il6.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"22","HGNC:5464","IGF1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252361","igf1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"23","HGNC:5464","IGF1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17330790","igf1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"24","HGNC:11740","TF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865383","tf.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"25","HGNC:11740","TF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6255495","tf.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"26","HGNC:11768","TGFB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865387","tgfb2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"27","HGNC:11768","TGFB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339019","tgfb2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"28","HGNC:7981","NR4A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6486845","nr4a2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"29","HGNC:7981","NR4A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335195","nr4a2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"30","HGNC:5467","IGF2R","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6488218","igf2r.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"31","HGNC:9865","RARB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865432","rarb.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"32","HGNC:9865","RARB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333516","rarb.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"33","HGNC:24845","RAB11FIP5","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865438","rab11fip5.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"34","HGNC:1583","CCND2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865455","ccnd2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"35","HGNC:1583","CCND2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252872","ccnd2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"36","HGNC:5361","ID2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-481302","id2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"37","HGNC:5361","ID2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17341008","id2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"38","HGNC:2359","CRIM1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6460380","crim1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"39","HGNC:2359","CRIM1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17336799","crim1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"40","HGNC:643","AQP9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6489298","aqp9.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"41","HGNC:643","AQP9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332301","aqp9.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"42","HGNC:3555","FABP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865470","fabp1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"43","HGNC:3555","FABP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17336535","fabp1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"44","HGNC:16039","ANGPTL4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6487565","angptl4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"45","HGNC:16039","ANGPTL4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333796","angptl4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"46","HGNC:6698","LRP6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865490","lrp6.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"47","HGNC:6698","LRP6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252411","lrp6.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"48","HGNC:1069","BMP2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-481833","bmp2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"49","HGNC:1069","BMP2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252323","bmp2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"50","HGNC:4097","GADD45G","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864811","gadd45g.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"51","HGNC:4097","GADD45G","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331725","gadd45g.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"52","HGNC:2897","DLC1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6251782","dlc1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"53","HGNC:2897","DLC1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17342699","dlc1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"54","HGNC:6204","JUN","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864843","jun.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"55","HGNC:6204","JUN","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344878","jun.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"56","HGNC:23673","MAMDC2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864900","mamdc2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"57","HGNC:23673","MAMDC2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340380","mamdc2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"58","HGNC:10721","SELP","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6488642","selp.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"59","HGNC:4234","GEM","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6487137","gem.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"60","HGNC:4234","GEM","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17336266","gem.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"61","HGNC:8809","PDK1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864997","pdk1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"62","HGNC:8809","PDK1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340842","pdk1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"63","HGNC:1123","KLF9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865026","klf9.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"64","HGNC:1123","KLF9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252653","klf9.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"65","HGNC:9070","PLEK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6254962","plek.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"66","HGNC:18738","RHOBTB1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865346","rhobtb1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"67","HGNC:18738","RHOBTB1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333116","rhobtb1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"68","HGNC:7105","MITF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252679","mitf.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"69","HGNC:7105","MITF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6464338","mitf.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"70","HGNC:4174","GATA6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865113","gata6.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"71","HGNC:4174","GATA6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252341","gata6.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"72","HGNC:10481","RYK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865079","ryk.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"73","HGNC:10481","RYK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17330463","ryk.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"74","HGNC:29537","MEIS3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-485341","meis3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"75","HGNC:29537","MEIS3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252025","meis3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"76","HGNC:14193","ARHGEF12","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865525","arhgef12.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"77","HGNC:14193","ARHGEF12","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345521","arhgef12.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"78","HGNC:11066","SLC7A8","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-485471","slc7a8.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"79","HGNC:11066","SLC7A8","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331221","slc7a8.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"80","HGNC:8044","NUCB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865529","nucb2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"81","HGNC:8044","NUCB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339477","nucb2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"82","HGNC:11773","TGFBR2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340964","tgfbr2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"83","HGNC:11773","TGFBR2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340965","tgfbr2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"84","HGNC:1076","BMPR1A","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865539","bmpr1a.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"85","HGNC:1076","BMPR1A","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332218","bmpr1a.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"86","HGNC:6188","JAG1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864982","jag1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"87","HGNC:6188","JAG1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17337675","jag1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"88","HGNC:11077","SLC9A4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335620","slc9a4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"89","HGNC:11077","SLC9A4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335621","slc9a4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"90","HGNC:11641","TCF7L2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-485979","tcf7l2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"91","HGNC:11641","TCF7L2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17341027","tcf7l2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"92","HGNC:8779","PDE3B","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865576","pde3b.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"93","HGNC:8779","PDE3B","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332496","pde3b.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"94","HGNC:10897","SKIL","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6487892","skil.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"95","HGNC:10897","SKIL","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17341249","skil.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"96","HGNC:1046","BHLHE40","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865608","bhlhe40.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"97","HGNC:1046","BHLHE40","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17337587","bhlhe40.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"98","HGNC:12780","WNT2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333728","wnt2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","No"
"99","HGNC:12780","WNT2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333729","wnt2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","No"
"100","HGNC:25460","KAZALD1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865638","kazald1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"101","HGNC:25460","KAZALD1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345967","kazald1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"102","HGNC:10921","SLC15A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6077596","slc15a2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"103","HGNC:10921","SLC15A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333412","slc15a2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"104","HGNC:14592","NET1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-487224","net1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"105","HGNC:14592","NET1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17338719","net1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"106","HGNC:19382","SOCS2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865689","socs2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"107","HGNC:19382","SOCS2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332337","socs2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"108","HGNC:29819","MRTFB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865719","mrtfb.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"109","HGNC:29819","MRTFB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345356","mrtfb.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"110","HGNC:5993","IL1R1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6487352","il1r1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"111","HGNC:9603","PTGIS","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17330107","ptgis.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"112","HGNC:7765","NF1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6489346","nf1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"113","HGNC:7765","NF1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17343663","nf1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"114","HGNC:6714","LTBP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865760","ltbp1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"115","HGNC:6714","LTBP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339234","ltbp1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"116","HGNC:3227","EFNB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865797","efnb2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"117","HGNC:3227","EFNB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6255186","efnb2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"118","HGNC:14065","HDAC9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865808","hdac9.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"119","HGNC:14065","HDAC9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335120","hdac9.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"120","HGNC:11148","FSCN1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-488983","fscn1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"121","HGNC:11148","FSCN1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17346730","fscn1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"122","HGNC:20851","FNBP1L","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865835","fnbp1l.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"123","HGNC:20851","FNBP1L","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17338248","fnbp1l.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"124","HGNC:6207","JUP","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-489401","jup.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"125","HGNC:6207","JUP","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6254182","jup.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"126","HGNC:7227","MRAS","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345255","mras.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"127","HGNC:7227","MRAS","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345256","mras.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"128","HGNC:10911","SLC12A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865887","slc12a2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"129","HGNC:10911","SLC12A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345824","slc12a2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"130","HGNC:11694","DYNLT3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865899","dynlt3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"131","HGNC:5456","IFRD1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865902","ifrd1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"132","HGNC:5456","IFRD1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331178","ifrd1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"133","HGNC:9026","PKP4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865909","pkp4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"134","HGNC:9026","PKP4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344931","pkp4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"135","HGNC:3490","ETV1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865910","etv1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"136","HGNC:6780","MAFF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865918","maff.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"137","HGNC:6780","MAFF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17342231","maff.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"138","HGNC:6142","ITGA6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865920","itga6.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
