"","Gene1ID","Gene1Symbol","Gene1SpeciesTaxonID","Gene1SpeciesName","Gene2ID","Gene2Symbol","Gene2SpeciesTaxonID","Gene2SpeciesName","Algorithms","AlgorithmsMatch","OutOfAlgorithms","IsBestScore","IsBestRevScore"
"11","HGNC:620","APP","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-479158","app.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"12","HGNC:620","APP","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345003","app.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"13","HGNC:10912","SLC12A3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6486163","slc12a3l.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","No"
"14","HGNC:10912","SLC12A3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17342062","slc12a3l.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","No"
"15","HGNC:6644","LMO4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865262","lmo4.2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"No","Yes"
"16","HGNC:6644","LMO4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6256064","lmo4.2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"No","Yes"
"17","HGNC:18116","KHDRBS1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865264","khdrbs1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"18","HGNC:18116","KHDRBS1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335140","khdrbs1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"19","HGNC:12405","TTR","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865269","ttr.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"20","HGNC:12405","TTR","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344424","ttr.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"21","HGNC:7000","MEIS1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-479443","meis1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"22","HGNC:13203","AICDA","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-479542","aicda.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"23","HGNC:13203","AICDA","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332369","aicda.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"24","HGNC:14881","ZEB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865280","zeb2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"25","HGNC:14881","ZEB2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331728","zeb2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"26","HGNC:6383","KNG1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865308","kng1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"27","HGNC:6383","KNG1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17338373","kng1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"28","HGNC:12428","TWIST1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865309","twist1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"29","HGNC:12428","TWIST1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6255840","twist1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"30","HGNC:6692","LRP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865314","lrp1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"31","HGNC:6692","LRP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340725","lrp1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"32","HGNC:3811","FOXG1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865339","foxg1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"33","HGNC:3811","FOXG1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332587","foxg1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"34","HGNC:5464","IGF1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252361","igf1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"35","HGNC:5464","IGF1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17330790","igf1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"36","HGNC:12874","ZIC3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865376","zic3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"37","HGNC:12874","ZIC3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335097","zic3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"38","HGNC:11740","TF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865383","tf.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"39","HGNC:11740","TF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6255495","tf.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"40","HGNC:11200","SOX4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865404","sox4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"41","HGNC:11200","SOX4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6253110","sox4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"42","HGNC:4046","FZD8","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865411","fzd8.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"43","HGNC:4046","FZD8","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6254029","fzd8.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"44","HGNC:5467","IGF2R","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6488218","igf2r.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"45","HGNC:10854","SHOX2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17338450","shox2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"46","HGNC:10854","SHOX2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17338451","shox2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"47","HGNC:9546","PSMB9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865433","psmb9.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"48","HGNC:24845","RAB11FIP5","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865438","rab11fip5.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"49","HGNC:17822","PTGES2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865442","ptges2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"50","HGNC:17822","PTGES2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344004","ptges2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"51","HGNC:4808","HAND2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865126","hand2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"52","HGNC:4808","HAND2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252408","hand2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"53","HGNC:2359","CRIM1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6460380","crim1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"54","HGNC:2359","CRIM1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17336799","crim1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"55","HGNC:3377","EPB41","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865471","epb41.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"56","HGNC:3377","EPB41","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335940","epb41.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"57","HGNC:17064","ELL2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865476","ell2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"58","HGNC:17064","ELL2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17337108","ell2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"59","HGNC:11840","TLE4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-481770","tle4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"60","HGNC:1069","BMP2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-481833","bmp2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"61","HGNC:1069","BMP2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252323","bmp2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"62","HGNC:6769","SMAD3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864816","smad3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"63","HGNC:6769","SMAD3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345125","smad3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"64","HGNC:29529","TBL1XR1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864821","tbl1xr1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"65","HGNC:29529","TBL1XR1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6255786","tbl1xr1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"66","HGNC:16500","DAPP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333388","dapp1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"67","HGNC:16500","DAPP1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333389","dapp1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"68","HGNC:6204","JUN","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864843","jun.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"69","HGNC:6204","JUN","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344878","jun.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"70","HGNC:10907","SLC11A1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864854","slc11a1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"71","HGNC:20249","SPRED1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864915","spred1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"72","HGNC:20249","SPRED1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17337965","spred1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"73","HGNC:2505","CTLA4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339328","ctla4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"74","HGNC:2505","CTLA4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339329","ctla4.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"75","HGNC:1928","FOXN3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864945","foxn3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"76","HGNC:1928","FOXN3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6448222","foxn3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"77","HGNC:10471","RUNX1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864949","runx1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"78","HGNC:10471","RUNX1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344131","runx1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"79","HGNC:4978","HLX","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6487236","hlx.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"80","HGNC:4978","HLX","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340128","hlx.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"81","HGNC:11562","TANK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-483301","tank.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"82","HGNC:11562","TANK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345318","tank.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"83","HGNC:7783","NFE2L3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6485916","nfe2l3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"84","HGNC:7783","NFE2L3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17343768","nfe2l3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"85","HGNC:29858","NLK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864990","nlk.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"86","HGNC:29858","NLK","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335483","nlk.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"87","HGNC:24663","RABGAP1L","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864994","rabgap1l.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"88","HGNC:24663","RABGAP1L","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17344790","rabgap1l.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"89","HGNC:3671","FGF14","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6488023","fgf14.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"90","HGNC:3671","FGF14","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17336233","fgf14.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"91","HGNC:4045","FZD7","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-483735","fzd7.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"92","HGNC:4045","FZD7","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333315","fzd7.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"93","HGNC:6190","JAK1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-483754","jak1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"94","HGNC:6190","JAK1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17340867","jak1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"95","HGNC:1123","KLF9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865026","klf9.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"96","HGNC:1123","KLF9","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252653","klf9.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"97","HGNC:16421","SOX6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17337583","sox6.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"98","HGNC:16421","SOX6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17337584","sox6.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"99","HGNC:1152","BVES","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865066","bves.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"100","HGNC:1152","BVES","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6254222","bves.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"101","HGNC:7153","MMD","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17339568","mmd.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"102","HGNC:18738","RHOBTB1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865346","rhobtb1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"103","HGNC:18738","RHOBTB1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17333116","rhobtb1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"104","HGNC:4319","GLI3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865509","gli3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"105","HGNC:4319","GLI3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17346222","gli3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"106","HGNC:6970","MDH1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865511","mdh1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"107","HGNC:6970","MDH1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17346166","mdh1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"108","HGNC:7105","MITF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252679","mitf.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"109","HGNC:7105","MITF","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6464338","mitf.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"110","HGNC:4174","GATA6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865113","gata6.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"111","HGNC:4174","GATA6","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6252341","gata6.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"112","HGNC:9459","PROX1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-485331","prox1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"113","HGNC:9459","PROX1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331607","prox1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"114","HGNC:11066","SLC7A8","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-485471","slc7a8.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"115","HGNC:11066","SLC7A8","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331221","slc7a8.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"116","HGNC:3522","EYA4","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17346412","eya4.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"117","HGNC:2705","DCN","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-864959","dcn.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"118","HGNC:2705","DCN","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17346075","dcn.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"119","HGNC:17722","SPRED2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6486012","spred2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"120","HGNC:17722","SPRED2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17334387","spred2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"121","HGNC:8005","NRP2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865038","nrp2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"122","HGNC:8005","NRP2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17346442","nrp2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"123","HGNC:12010","TPM1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865564","tpm1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"124","HGNC:1074","BMP7","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-486018","bmp7.1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"125","HGNC:1074","BMP7","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17343598","bmp7.1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"126","HGNC:562","AP2A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865570","ap2a2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"127","HGNC:562","AP2A2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17334305","ap2a2.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"128","HGNC:7376","MSR1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-5996366","msr1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"129","HGNC:7376","MSR1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17341529","msr1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"130","HGNC:3521","EYA3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865589","eya3.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"131","HGNC:3521","EYA3","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17331042","eya3.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"132","HGNC:8846","PER2","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865597","per2.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"133","HGNC:7549","MYBPC1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6486841","mybpc1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"134","HGNC:7549","MYBPC1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17345748","mybpc1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"135","HGNC:9395","PRKCB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-6485749","prkcb.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"136","HGNC:9395","PRKCB","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17335248","prkcb.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"137","HGNC:2752","PIAS1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-865622","pias1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"138","HGNC:2752","PIAS1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-17332545","pias1.S","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
"139","HGNC:17923","GRHL1","NCBITaxon:9606","Homo sapiens","Xenbase:XB-GENE-486580","grhl1.L","NCBITaxon:8355","Xenopus laevis","Xenbase",1,1,"Yes","Yes"
